Supplier / Chain / Customer,Rep
Eaze,Elyse
Sweet Flower,Karlie
March and Ash,Karlie
The Parent Co.,TBH
Airfield Supply Co.,TBH
Urbn Leaf,Karlie
The Leaf,Karlie
Atrium,Karlie
Nice Guys Delivery,TBH
Unrivaled Brands,Karlie
Apothecarium,Elyse
Urbana,TBH
Velvet,TBH
Harborside,Karlie
Glass House Group,Jen
ONA.life,TBH
Synchronicity Holistic,Ryan
TradeCraft,Karlie
Holistic Health / Liberty,TBH
Stiiizy,Jen
Emjay,Karlie
Cookies Corp,Jen
Calwave Enterprises Inc,Ryan
Captain Jacks,Karlie
Ganja Goddess,Ryan
The Lighthouse Palm Springs,Karlie
SPARC,Ryan
Columbia Care,Karlie
Amuse,Elyse
Elemental Wellness Center,Ryan
Barbary Group,Ryan
Planet 13 Orange County,Karlie
Megan's Organic Market,Ryan
"dba Mankind WILD WEST INDUSTRIES, INC.",Karlie
Torrey Holistics,Karlie
Coastal,TBH
Sava,Elyse
Mercy Wellness,Ryan
Cornerstone Research Collective,Ryan
Flora Terra,Ryan
Fig & Thistle Apothecary,Ryan
Ascent Mammoth,Ryan
Solful,Ryan
Embarc,Jen
Harvest,Ryan
Winter Greens,Ryan
The Artist Tree,Ryan
Erba,Jen
Natural Cannabis Company Distribution,Ryan
Purple Lotus Patient Center,Ryan
MMD,Ryan
3Bros,Ryan
Tahoe Green,Ryan
Green Earth,Ryan
Big Sur Cannabotanicals,Ryan
GO ERBA,Ryan
Cannablue,Ryan
Farmhouse Artisan Market,Ryan
OC3,Ryan
Coastal Wellness,Ryan
Medcare Farms,Karlie
Catalyst,Karlie
Serra,Ryan
Kolas,Ryan
California Street Cannabis Co.,Ryan
The Growcery,Ryan
MOTA,Ryan
TreeHouse,Ryan
The Green Goddess Collective,Ryan
Eureka Sky,Ryan
Nugg Club,Elyse
Herb Delivery,Ryan
King's Crew,Ryan
Wellgreens,Ryan
N. Azimi,Ryan
Lit La Mesa,Ryan
Berkeley Patients Group (BPG),Ryan
Beyond Hello/Jushi Brand,Jen
ASHE Society,Ryan
Tahoe Honey Company,Ryan
CCA California Caregivers Alliance,Ryan
Mission Cannabis Club,Ryan
Greenskeepers,Ryan
MediThrive,Ryan
MedMen,Jen
AHHS Weho,Ryan
Safeport,Ryan
ShowGrow,Ryan
Love In It,Ryan
Down Under Industries,Ryan
Garden of Eden,Ryan
"ELEVATION 2477, LLC",Ryan
West Coast Cannabis Club,Ryan
Canopy Club,Ryan
Cookies 805,Jen
Higher Level,Ryan
Los Angeles Patients and Caregivers Group,Ryan
The Higher Path,Ryan
Mr Nice Guy,Ryan
Goldn Bloom,Ryan
HiKei,Ryan
Jane Dispensary,Ryan
Rose Mary Jane,Ryan
Hollywood High Grade,Ryan
Juva,Ryan
"Euphoric Caregivers, Prop- 215",Ryan
The Lift,Ryan
Libra,Ryan
Mountain Remedy,Ryan
Ohana Gardens,Ryan
Green Dragon Collective,Ryan
Legacy Kush,Ryan
HIGH NOTE,Ryan
BoRu Co,Ryan
GBH Retail,Ryan
The Healing Tree,Ryan
TAHOE WELLNESS CENTER,Ryan
Compassionate Bay Delivery CBD,Ryan
Doobie Nights,Ryan
Sixty Four and Hope,Ryan
Americannmade,Ryan
Dutchman's Flat,Ryan
Society Jane,Ryan
Token Farms,Ryan
Shangri La Care Cooperative,Ryan
Moonflower Delivery,Ryan
Exhalence,Ryan
DC Collective,Ryan
Boutiq (Primetime Cap),Ryan
The Flore Store,Ryan
Green Chamber,Ryan
"KZD VENTURES, INC",Ryan
Charlie Mike Inc.,Ryan
Satori Wellness,Ryan
Buzz Delivery,Ryan
