door,dollar_vol,updated_door_name,updated_account,Delivery
Alpha Core Inc.,0.4,Alpha Core Inc.-Distro,,No
Alpha Core Inc.-Distro,0.04,Alpha Core Inc.-Distro,,No
BASA,1351.5,BASA,,No
BASA- Bay Area Safe Alternatives,3.4,BASA,,No
Beyond / Hello,1420.72,Beyond Hello - Santa Barbara,,No
Beyond Hello,0.17,Beyond Hello - Santa Barbara,,No
Beyond Hello - Santa Barbara,12261.01,Beyond Hello - Santa Barbara,,No
Blum - Oakland,1056,Blum - Oakland,,No
Blum - San Leandro,792.16,Blum - San Leandro,,No
Blum - The Spot - Halladay,2757.62,Blum - The Spot - Halladay,,No
Blum Oakland,288.33,Blum - Oakland,,No
Blum San Leandro,288.21,Blum - San Leandro,,No
Coastal - Santa Barbara,23906.72,Coastal - Santa Barbara,,No
Coastal - West LA,2199.9,Coastal - West LA,,No
Coastal Delivery - Santa Barbara,3434.9,Coastal - Santa Barbara,,No
Coastal Dispensary,10337.13,Coastal - West LA,,No
Coastal West LA,2404.7,Coastal - West LA,,No
Down Under Industries,3852.75,Down Under Industries,,No
Down Under Industries Inc,663.06,Down Under Industries,,No
Eco Cannabis,1234.48,Eco Cannabis - Distro,,No
Eco Cannabis - Distro,2910.12,Eco Cannabis - Distro,,No
Embarc Tahoe,4512.28,Embarc Tahoe,,No
Embarc Tahoe LLC,1679.04,Embarc Tahoe,,No
Fig & Thistle Apothecary,18110.52,Fig & Thistle Apothecary,,No
Fig and Thistle Apothecary,3942.78,Fig & Thistle Apothecary,,No
"Flor X, Inc.",4800.8,"Flor X, Inc. - Distro",,No
"Flor X, Inc. - Distro",14477.35,"Flor X, Inc. - Distro",,No
Foothill Health and Wellness,324,Foothill Health and Wellness,,No
Foothill Wellness Center,1320.58,Foothill Health and Wellness,,No
"From The Earth / DBO Investments LB, LLC",3846.34,From The Earth CBD,,No
From The Earth CBD,384.04,From The Earth CBD,,No
From The Earth DBO,1.8,From The Earth CBD,,No
Harvest - Napa,1306.82,Harvest - Napa,,No
Harvest - Venice,396.64,Harvest - Venice,,No
"Harvest of Napa, INC- Napa - Medicinal",8147.93,Harvest - Napa,,No
Harvest of Venice,4574.14,Harvest - Venice,,No
Herb Delivery - East LA,1800.04,Herb Delivery - East LA,,No
Herb Delivery LA,14251.44,Herb Delivery - East LA,,No
High Times - Coalinga,1317.6,High Times - Coalinga,,No
High Times Coalinga,108,High Times - Coalinga,,No
High Times Oakland - Broadway,6769.86,High Times Oakland - Broadway,,No
High Times Oakport,1644.48,High Times Oakland - Broadway,,No
Holistic Pain Relief (LA Cannabis Co),1224.72,Holistic Pain Relief (LACC),,No
Holistic Pain Relief (LACC),432,Holistic Pain Relief (LACC),,No
ILLA Canna,660,Illa Canna (Ventura Oaks Ventures),,No
Illa Canna (Ventura Oaks Ventures),492.03,Illa Canna (Ventura Oaks Ventures),,No
"Ironworks Collective, INC. (Distro)",955.44,"Ironworks Collective, Inc.",,No
"Ironworks Collective, Inc.",1911.6,"Ironworks Collective, Inc.",,No
Jade Room - Torrance,420,Jade Room - Torrance,Jade room,No
"Juva RWC, Inc.",0.3,Juva RWC,,No
Liberty - SF,12491.67,Liberty SF,,No
Liberty SF,5658,Liberty SF,,No
Marina Caregivers,0.2,Marina Caregivers / Highway,,No
Marina Caregivers / Highway,288.16,Marina Caregivers / Highway,,No
MedMen DTLA - Distro,661337.48,MedMen DTLA,,No
MedMen DTLA Retail,9735.18,MedMen DTLA,,No
Melrose Herbal Collective (LA Cannabis La Brea),1278.92,Melrose Herbal Collective (LACC La Brea),,No
Melrose Herbal Collective (LACC La Brea),600,Melrose Herbal Collective (LACC La Brea),,No
Mission Cannabis Club,8788.12,Mission Cannabis Club,,No
Mission Cannabis Club (Shambhala Healing Center),2389.4,Mission Cannabis Club,,No
Organic Green Treatment Center (LA Cannabis LA),1902.82,Organic Green Treatment Center (LACC),,No
Organic Green Treatment Center (LACC),756,Organic Green Treatment Center (LACC),,No
Prussian Sticks LLC,89589.5,Prussian Sticks LLC / Flower Co.,,No
Prussian Sticks LLC / Flower Co.,20181.44,Prussian Sticks LLC / Flower Co.,,No
SPARC Haight Street,1533.28,SPARC Haight Street,,No
SPARC- Haight Street,12002.37,SPARC Haight Street,,No
Sixty Four and Hope (La Cienega),618,Sixty Four and Hope (La Cienega),,No
Sixty-Four and Hope (La Cienega),564.18,Sixty Four and Hope (La Cienega),,No
Strains,-297,Strains Dispensary,,No
Strains Dispensary,7896.66,Strains Dispensary,,No
The Apothecarium (Lombard) - Deep Thought,25324.43,The Apothecarium (Lombard) - Deep Thought,,No
The Apothecarium - Deep Thought,16960.8,The Apothecarium (Lombard) - Deep Thought,,No
The Country Club - Distro,846,The Country Club - Distro,,No
"The Country Club, LLC",1412.4,The Country Club - Distro,,No
"Three Habitat Consulting Antioch, LLC",270.24,"Three Habitat Consulting Antioch, LLC",,No
Three Habitat Consulting Atwater LLC,1118.61,"Three Habitat Consulting Antioch, LLC",,No
TradeCraft - Los Angeles,2,,,No
TradeCraft - Vista,27160.47,TradeCraft - Vista,,No
Vista TradeCraft,,TradeCraft - Vista,Tradecraft,No
TreeO,180,TreeO,,No
Treeo,0.16,TreeO,,No
Varda (Coastal - Pasadena),720.8,Varda (Coastal - Pasadena),,No
"Varda, INC (Coastal Pasadena)",660.02,Varda (Coastal - Pasadena),,No
Wheel House,979.44,WheelHouse,,No
WheelHouse,432,WheelHouse,,No
