Door Name in System,New Door Name for Database,Account,Delivery
Adams Street - MED,Ascend - Adams Street,Ascend,No
Adams Street - REC,Ascend - Adams Street,Ascend,No
Ascend - Collinsville,Ascend - Collinsville,Ascend,No
Ascend - Fairview,Ascend - Fairview,Ascend,No
Ascend - Horizon,Ascend - Horizon,Ascend,No
Ascend - Horizon Drive,Ascend - Horizon,Ascend,No
Ascend - Springfield,Ascend - Springfield,Ascend,No
Ascend IL - Adams Street - MED,Ascend - Adams Street,Ascend,No
Ascend IL - Adams Street - REC,Ascend - Adams Street,Ascend,No
Ascend IL - Chicago - MED(Archer),Ascend - Archer,Ascend,No
Ascend IL - Chicago Ridge - REC,Ascend - Chicago Ridge,Ascend,No
Ascend IL - Collinsville - MED,Ascend - Collinsville,Ascend,No
Ascend IL - Collinsville - REC,Ascend - Collinsville,Ascend,No
Ascend IL - Fairview Heights - REC,Ascend - Fairview Heights,Ascend,No
Ascend IL - Horizon Drive - REC,Ascend - Horizon,Ascend,No
Ascend IL - Midway Chicago - REC,Ascend - Midway,Ascend,No
Ascend IL(Chicago) - Logan Square - MED,Ascend - Chicago Logan Square,Ascend,No
Ascend IL(Chicago) - Logan Square - REC,Ascend - Chicago Logan Square,Ascend,No
Ascend IL(Chicago) - River North - REC,Ascend - Chicago River North,Ascend,No
Beyond/Hello - Bloomington,Beyond/Hello - Bloomington,Jushi,No
Beyond/Hello - Normal,Beyond/Hello - Normal,Jushi,No
Beyond/Hello - Sauget,Beyond/Hello - Sauget,Jushi,No
Beyond/Hello - Sauget 2,Beyond/Hello - Sauget 2,Jushi,No
Beyond/Hello Illinois - Beyond Hello Sauget (Mississippi Ave) - REC,Beyond/Hello - Sauget 2,Jushi,No
Beyond/Hello Illinois - Bloomington - REC,Beyond/Hello - Bloomington,Jushi,No
Beyond/Hello Illinois - Normal - MED,Beyond/Hello - Normal,Jushi,No
Beyond/Hello Illinois - Sauget - MED,Beyond/Hello - Sauget,Jushi,No
Cannabist - Villa Park,Cannabist - Villa Park,Cannabist,No
Cannabist IL - Chicago - MED,Cannabist - Chicago,Cannabist,No
Cannabist IL - Villa Park - REC,Cannabist - Villa Park,Cannabist,No
Chicago - MED(Archer),Ascend - Midway,Ascend,No
Chicago Ridge - REC,Ascend - Chicago Ridge,Ascend,No
Collinsville - MED,Ascend - Collinsville,Ascend,No
Collinsville - REC,Ascend - Collinsville,Ascend,No
Columbia Care - Chicago,Columbia Care - Chicago,Columbia Care,No
Consume - Carbondale,Consume - Carbondale,Consume,No
Consume - Chicago,Consume - Chicago,Consume,No
Consume - Marion,Consume - Marion,Consume,No
Consume - Marion ,Consume - Marion ,Consume,No
Consume - Oak Brook Terrace,Consume - Oakbrook Terrace,Consume,No
Consume - Oakbrook Terrace,Consume - Oakbrook Terrace,Consume,No
Consume IL - Carbondale - REC,Consume - Carbondale,Consume,No
Consume IL - Chicago - MED,Consume - Chicago,Consume,No
Consume IL - Chicago - REC,Consume - Chicago,Consume,No
Consume IL - Marion - REC,Consume - Marion ,Consume,No
Consume IL - Oakbrook Terrace - REC,Consume - Oakbrook Terrace,Consume,No
Curaleaf - Deerfield,Curaleaf - Deerfield,Curaleaf,No
Curaleaf - Justice,Curaleaf - Justice,Curaleaf,No
Curaleaf - Lincoln Park,Curaleaf - Lincoln Park,Curaleaf,No
Curaleaf - Melrose Park,Curaleaf - Melrose Park,Curaleaf,No
Curaleaf - Mokena,Curaleaf - Mokena,Curaleaf,No
Curaleaf - Morris,Curaleaf - Morris,Curaleaf,No
Curaleaf - Northbrook,Curaleaf - Northbrook,Curaleaf,No
Curaleaf - Skokie,Curaleaf - Skokie,Curaleaf,No
Curaleaf - Weed Street,Curaleaf - Weed Street,Curaleaf,No
Curaleaf - Westmont,Curaleaf - Westmont,Curaleaf,No
Curaleaf - Worth,Curaleaf - Worth,Curaleaf,No
Curaleaf IL - Deerfield - MED,Curaleaf - Deerfield,Curaleaf,No
Curaleaf IL - Justice - MED,Curaleaf - Justice,Curaleaf,No
Curaleaf IL - Justice - REC,Curaleaf - Justice,Curaleaf,No
Curaleaf IL - Lincoln Park - REC,Curaleaf - Lincoln Park,Curaleaf,No
Curaleaf IL - Melrose Park - REC,Curaleaf - Melrose Park,Curaleaf,No
Curaleaf IL - Mokena - MED,Curaleaf - Mokena,Curaleaf,No
Curaleaf IL - Morris - MED,Curaleaf - Morris,Curaleaf,No
Curaleaf IL - Morris - REC,Curaleaf - Morris,Curaleaf,No
Curaleaf IL - Northbrook - REC,Curaleaf - Northbrook,Curaleaf,No
Curaleaf IL - Skokie - REC,Curaleaf - Skokie,Curaleaf,No
Curaleaf IL - Westmont - REC,Curaleaf - Westmont,Curaleaf,No
