Door Name in System,New Door Name for Database,Account,Delivery
Apothecarium,Apothecarium,Apothecarium,No
Apothecary Shoppe,Apothecary Shoppe,Apothecary Shoppe,No
Beyond Hello,Beyond Hello,Beyond/Hello,No
Blum Desert Inn,Blum Desert Inn,Blum Desert Inn,No
Blum Reno,Blum Reno,Blum Reno,No
Cookies - Strip,Cookies on the Strip,Cookies,No
Cookies on Flamingo,Cookies on Flamingo,Cookies,No
Cookies Retail,Cookies on Flamingo,Cookies,No
Cultivate,Cultivate,Cultivate,No
Cultivate Dispensary (Wellness Connection of Nevada),Cultivate,Cultivate,No
Curaleaf,Curaleaf,Curaleaf,No
Curaleaf Western,Curaleaf Western,Curaleaf,No
Essence Dispensary - Durango,Essence Durango,GTI,No
Essence Dispensary - Rainbow,Essence Rainbow,GTI,No
Essence Dispensary - Sunset (Retail),Essence Sunset,GTI,No
Essence Dispensary - Tropicana (Retail),Essence Tropicana,GTI,No
Essence Durango,Essence Durango,GTI,No
Essence Henderson,Essence Henderson,GTI,No
Essence Rainbow,Essence Rainbow,GTI,No
Essence Strip,Cookies on the Strip,Cookies,No
Essence Tropicana,Essence Tropicana,GTI,No
Euphoria Wellness,Euphoria Wellness,Euphoria Wellness,No
Euphoria Wellness,Euphoria Wellness,Euphoria Wellness,No
Exhale,Exhale,Exhale,No
Exhale - Warehouse,Exhale,Exhale,No
Exhale Nevada,Exhale,Exhale,No
Green Cannabis,Green Cannabis,Green Cannabis,No
Green Cannabis ,Green Cannabis,Green Cannabis ,No
Green Cannabis Co,Green Cannabis,Green Cannabis,No
Green Cross,Green Cross,Green Cross,No
Greenleaf Wellness,Greenleaf Wellness,Greenleaf Wellness,No
Inyo,Inyo Fine Cannabis Dispensary,Inyo,No
Inyo Fine Cannabis Dispensary,Inyo Fine Cannabis Dispensary,Inyo,No
Jardin,Jardin,Jardin,No
Jenny's Dispensary Henderson,Jenny's Dispensary Henderson,Jenny's Dispensary,No
Jenny's Dispensary North Las Vegas,Jenny's Dispensary North Las Vegas,Jenny's Dispensary,No
Jenny's Dispensary- Las Vegas,Jenny's Dispensary Las Vegas,Jenny's Dispensary,No
Jenny's NLV,Jenny's Dispensary North Las Vegas,Jenny's Dispensary,No
Kanna,Kanna,Kanna,No
Las Vegas Releaf,Las Vegas Releaf,Las Vegas Releaf,No
Las Vegas ReLeaf,Las Vegas ReLeaf,Las Vegas ReLeaf,No
MedMen - DTLV,MedMen DTLV,MedMen,No
MedMen - Paradise,MedMen Paradise,MedMen,No
MedMen DTLV,MedMen DTLV,MedMen,No
MedMen Las Vegas - Spring Valley,MedMen Spring Valley,MedMen,No
MedMen Paradise,MedMen Paradise,MedMen,No
MedMen Spring Valley,MedMen Spring Valley,MedMen,No
MYNT,Mynt Downtown,Mynt,No
Mynt Downtown,Mynt Downtown,Mynt,No
Mynt Lemmon Valley,Mynt North Reno,Mynt,No
MYNT North,MYNT North,Mynt,No
Mynt North,Mynt North Reno,Mynt,No
Mynt North Reno,Mynt North Reno,Mynt,No
Nevada Wellness Center,Nevada Wellness Center,Nevada Wellness Center,No
NeWe,NeWe,NeWe,No
Nuwu,NuWu,Nuwu,No
NuWu (Elko),NuWu Elko,NuWu,No
NuWu Elko,NuWu Elko,NuWu,No
NuWu North,NuWu North,NuWu,No
Oasis,Oasis,Oasis,No
Pesha Numma,Pesha Numma,Pesha Numma,No
Pisos,Pisos,Pisos,No
Planet 13,Planet 13,Planet 13,No
Reef,Reef,Reef,No
Reef Dispensaries,Reef Dispensaries,Reef,No
Rise Carson City,Rise Carson City,GTI,No
Rise Carson City - Rec,Rise Carson City,GTI,No
Rise Henderson,Rise Henderson,GTI,No
Rise Reno,Rise Reno,GTI,No
Rise Spanish Springs,Rise Spanish Springs,GTI,No
Sahara Wellness,Sahara Wellness,Sahara Wellness,No
Shango,Shango,Shango,No
ShowGrow,ShowGrow,ShowGrow,No
Sierra Wellness,Sierra Wellness,Sierra Wellness,No
Silver Sage Wellness,Silver Sage Wellness,Silver Sage Wellness,No
Silver Sage Wellness,Silver Sage Wellness,Silver Sage Wellness,No
Silver State Relief,Silver State Relief,Silver State Relief,No
Silver State Relief Fernley,Silver State Relief Fernley,Silver State Relief,No
Silver State Relief Sparks,Silver State Relief Sparks,Silver State Relief,No
SoL Cannabis,SoL Cannabis,SoL Cannabis,No
The Apothecarium,Apothecarium,Apothecarium,No
The Apothecary Shoppe,Apothecary Shoppe,Apothecary Shoppe,No
The Dispensary - Eastern Express,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Decatur,The Dispensary Decatur,The Dispensary,No
The Dispensary Eastern,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Express,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Gibson,The Dispensary Gibson,The Dispensary,No
The Dispensary Henderson,The Dispensary Henderson,The Dispensary,No
The Dispensary Las Vegas,The Dispensary Las Vegas,The Dispensary,No
The Dispensary Reno,The Dispensary Reno,The Dispensary,No
The Grove Las Vegas,The Grove Las Vegas,The Grove,No
The Sanctuary Downtown Las Vegas,The Sanctuary Downtown Las Vegas,The Sanctuary,No
The Sanctuary North Las Vegas,The Sanctuary North Las Vegas,The Sanctuary,No
The Source - Distribution,The Source - Distribution,The Source,No
The Source - Henderson,The Source Henderson,The Source,No
The Source - Las Vegas,The Source Las Vegas,The Source,No
The Source - NLV,The Source NLV,The Source,No
The Source - Reno,The Source Reno,The Source,No
The Source Henderson,The Source Henderson,The Source,No
The Source NLV,The Source NLV,The Source,No
The Source Rainbow,The Source Rainbow,The Source,No
The Source Reno,The Source Reno,The Source,No
The Source Sahara,The Source Sahara,The Source,No
Three Nations Cannabis,Three Nations Cannabis,Three Nations Cannabis,No
Thrive,Thrive,Thrive,No
Thrive Cactus,Thrive Cactus,Thrive,No
