Door Name in System,New Door Name for Database,Account,Delivery
Apothecarium,Apothecarium,Apothecarium,No
Apothecary Shoppe,Apothecary Shoppe,Apothecary Shoppe,No
Beyond Hello,Beyond Hello,Beyond/Hello,No
Cookies - Strip,Cookies on the Strip,GTI,No
Cookies on Flamingo,Cookies on Flamingo,Cookies,No
Cookies Retail,Cookies on Flamingo,Cookies,No
Cultivate,Cultivate,Cultivate,No
Cultivate Dispensary (Wellness Connection of Nevada),Cultivate,Cultivate Dispensary (Wellness Connection of Nevada),No
Essence Dispensary - Durango,Essence Durango,GTI,No
Essence Dispensary - Rainbow,Essence Rainbow,GTI,No
Essence Dispensary - Sunset (Retail),Rise Henderson,GTI,No
Essence Dispensary - Tropicana (Retail),Essence Tropicana,GTI,No
Essence Durango,Essence Durango,GTI,No
Essence Henderson,Rise Henderson,GTI,No
Essence Rainbow,Essence Rainbow,GTI,No
Essence Strip,Cookies on the Strip,GTI,No
Essence Tropicana,Essence Tropicana,GTI,No
Euphoria Wellness,Euphoria Wellness,Euphoria Wellness,No
Exhale,Exhale,Exhale,No
Exhale - Warehouse,Exhale,Exhale,No
Exhale Nevada,Exhale,Exhale,No
Green Cannabis,Green Cannabis,Green Cannabis,No
Green Cannabis ,Green Cannabis,Green Cannabis ,No
Green Cannabis Co,Green Cannabis,Green Cannabis,No
Inyo,Inyo Fine Cannabis Dispensary,Inyo,No
Inyo Fine Cannabis Dispensary,Inyo Fine Cannabis Dispensary,Inyo,No
Jardin,Jardin,Jardin,No
Jenny's Dispensary North Las Vegas,Jenny's Dispensary North Las Vegas,Jenny's Dispensary,No
Jenny's NLV,Jenny's Dispensary North Las Vegas,Jenny's Dispensary,No
Las Vegas Releaf,Las Vegas Releaf,Las Vegas Releaf,No
MedMen - DTLV,MedMen DTLV,MedMen,No
MedMen - Paradise,MedMen Paradise,MedMen,No
MedMen DTLV,MedMen DTLV,MedMen,No
MedMen Las Vegas - Spring Valley,MedMen Spring Valley,MedMen,No
MedMen Paradise,MedMen Paradise,MedMen,No
MedMen Spring Valley,MedMen Spring Valley,MedMen,No
MYNT,Mynt Downtown,Mynt,No
Mynt Downtown,Mynt Downtown,Mynt,No
Mynt Lemmon Valley,Mynt North Reno,Mynt,No
Mynt North,Mynt North Reno,Mynt,No
NeWe,NeWe,NeWe,No
Nuwu,NuWu,Nuwu,No
NuWu (Elko),NuWu Elko,NuWu,No
NuWu North,NuWu North,NuWu,No
Pisos,Pisos,Pisos,No
Planet 13,Planet 13,Planet 13,No
Reef Dispensaries,Reef Dispensaries,Reef Dispensaries,No
Rise Carson City,Rise Carson City,GTI,No
Rise Carson City - Rec,Rise Carson City,GTI,No
Rise Reno,Rise Reno,GTI,No
Rise Spanish Springs,Rise Spanish Springs,GTI,No
Shango,Shango,Shango,No
Silver Sage Wellness,Silver Sage Wellness,Silver Sage Wellness,No
The Apothecarium,The Apothecarium,Apothecarium,No
The Apothecary Shoppe,The Apothecary Shoppe,The Apothecary Shoppe,No
The Dispensary - Eastern Express,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Decatur,The Dispensary Decatur,The Dispensary,No
The Dispensary Eastern,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Express,The Dispensary Eastern Express,The Dispensary,No
The Dispensary Gibson,The Dispensary Gibson,The Dispensary,No
The Dispensary Henderson,The Dispensary Henderson,The Dispensary,No
The Dispensary Las Vegas,The Dispensary Decatur,The Dispensary,No
The Dispensary Reno,The Dispensary Reno,The Dispensary,No
The Grove Las Vegas,The Grove Las Vegas,The Grove Las Vegas,No
The Source - Henderson,The Source Henderson,The Source,No
The Source - Las Vegas,The Source Las Vegas,The Source,No
The Source - NLV,The Source NLV,The Source,No
The Source - Reno,The Source Reno,The Source,No
The Source Henderson,The Source Henderson,The Source,No
The Source NLV,The Source NLV,The Source,No
The Source Rainbow,The Source Las Vegas,The Source,No
The Source Reno,The Source Reno,The Source,No
The Source Sahara,The Source Las Vegas,The Source,No
Three Nations Cannabis,Three Nations Cannabis,Three Nations Cannabis,No
Thrive DTLV,Thrive DTLV,Thrive,No
Thrive North Las Vegas,Thrive North Las Vegas,Thrive,No
Thrive Reno,Thrive Reno,Thrive,No
Thrive Southern Highlands,Thrive Southern Highlands,Thrive,No
Thrive West Sahara,Thrive DTLV,Thrive,No
Tree of Life,Tree of Life,Tree of Life,No
Vegas Treehouse,Vegas Treehouse,Vegas Treehouse,No
Wallflower,Wallflower,Wallflower,No
Wallflower Cannabis House,Wallflower,Wallflower,No
