door,account,Current Rep Owner,Delivery
Blum Oakland,BLUM,NorCal,No
Blum San Leandro,BLUM,NorCal,No
CHAI Cannabis Co - Santa Cruz,CHAi,Ryan,No
"Three Habitat Consulting Antioch, LLC",CHAi,Ryan,No
Three Habitat Consulting Atwater LLC,CHAi,Ryan,No
Dr. Greenthumb - Sacramento,DGT,Ryan,No
Dr. Greenthumb's Sylmar,DGT,Ryan,No
EAST OF EDEN CANNABIS COMPANY,EOE Group,Ryan,No
White Fire,EOE Group,Ryan,No
Ganjarunner - Oakland,Ganjarunner,Ryan,No
Ganjarunner-Sacramento,Ganjarunner,Ryan,No
HerbalCure Corporation,Ganjarunner,Ryan,No
Have a Heart - Santa Cruz,Have a Heart,Ryan,No
McDoestle / Flower Co.,McDoestle,N/A DTC,No
NHC - Grover Beach,NHC,Ryan,No
OutCo El Cajon,OutCo,Ryan,No
SDRC,SDRC,Ryan,No
The Joint,Speedy Weedy,Ryan,No
Super Clinik,Super Clinik,Ryan,No
West Clinik,Super Clinik,Ryan,No
VHHC - Vallejo Holistic Health Center,VHHC,Ryan,No
Alpine Alternative,Vibe by CA,Ryan,No
EVR Managers LLC,Vibe by CA,Ryan,No
Port City Alternative-Stockton - Medicinal,Vibe by CA,Ryan,No
1841 El Camino (Horizon),* Independent Kiva Sales & Service,Ryan,No
420 Central,* Independent Kiva Sales & Service,Ryan,No
420 Kingdom,* Independent Kiva Sales & Service,Ryan,No
515 Broadway,* Independent Kiva Sales & Service,Ryan,No
710 SF INC.,* Independent Kiva Sales & Service,Ryan,No
A Green Alternative Cooperative,* Independent Kiva Sales & Service,Ryan,No
All About Wellness,* Independent Kiva Sales & Service,Ryan,No
Alpha Core Inc.,* Independent Kiva Sales & Service,Ryan,No
"ALTERNATIVES, A HEALTH COLLECTIVE",* Independent Kiva Sales & Service,Ryan,No
Amenta Systems,* Independent Kiva Sales & Service,Ryan,No
Atomic Budz,* Independent Kiva Sales & Service,Ryan,No
Bare Dispensary,* Independent Kiva Sales & Service,Ryan,No
BASA- Bay Area Safe Alternatives,* Independent Kiva Sales & Service,Ryan,No
BayQueen,* Independent Kiva Sales & Service,Ryan,No
Big Moon Sky,* Independent Kiva Sales & Service,Ryan,No
Bloom Room,* Independent Kiva Sales & Service,Ryan,No
Blue Zen Ventures Management,* Independent Kiva Sales & Service,Ryan,No
Blunts and Moore,* Independent Kiva Sales & Service,Ryan,No
Buds and Roses,* Independent Kiva Sales & Service,Ryan,No
BudsBox,* Independent Kiva Sales & Service,Ryan,No
Calac Wellness,* Independent Kiva Sales & Service,Ryan,No
CALEXICO CANNABIS DISTRIBUTION,* Independent Kiva Sales & Service,Ryan,No
Calibueno,* Independent Kiva Sales & Service,Ryan,No
California Alternative Caregivers,* Independent Kiva Sales & Service,Ryan,No
California Street Cannabis Co,* Independent Kiva Sales & Service,Ryan,No
CALMA WEHO,* Independent Kiva Sales & Service,Ryan,But need to confirm if active
Cannabis Express,* Independent Kiva Sales & Service,Ryan,No
Cannasseurs Club - NoHo,* Independent Kiva Sales & Service,Ryan,No
Captain Puff,* Independent Kiva Sales & Service,Ryan,No
Casa Cannabis,* Independent Kiva Sales & Service,Ryan,No
Case Farms,* Independent Kiva Sales & Service,Ryan,No
CBCB - Cannabis Buyers Club of Berkeley,* Independent Kiva Sales & Service,Ryan,No
CCC City Compassionate Caregivers,* Independent Kiva Sales & Service,Ryan,No
Circle of Hope-Northridge,* Independent Kiva Sales & Service,Ryan,No
Coachella Valley Green Dragon,* Independent Kiva Sales & Service,Ryan,No
Collective Effort,* Independent Kiva Sales & Service,Ryan,No
Community Gardens - OAKLAND,* Independent Kiva Sales & Service,NorCal,No
CRAFT,* Independent Kiva Sales & Service,Ryan,No
Dank Depot,* Independent Kiva Sales & Service,Ryan,No
Desert Organic Solutions,* Independent Kiva Sales & Service,Ryan,No
Direct Natural Alternatives Inc.,* Independent Kiva Sales & Service,Ryan,No
Divine Wellness Center,* Independent Kiva Sales & Service,Ryan,No
Down Under Industries Inc,* Independent Kiva Sales & Service,Ryan,No
Dr Green RX,* Independent Kiva Sales & Service,Ryan,No
"DTPG Collective, Inc.",* Independent Kiva Sales & Service,Ryan,No
Eagle Eye LLC,* Independent Kiva Sales & Service,Ryan,No
Eco Cannabis,* Independent Kiva Sales & Service,Ryan,No
Elevated - San Francisco,* Independent Kiva Sales & Service,Ryan,No
Empire Gardens - Perris,* Independent Kiva Sales & Service,Ryan,No
Evolv Cannabis,* Independent Kiva Sales & Service,Ryan,No
F Street Dispensary,* Independent Kiva Sales & Service,Ryan,No
Field of Dreams,* Independent Kiva Sales & Service,Ryan,No
Fig and Thistle Apothecary,* Independent Kiva Sales & Service,Ryan,No
Fiori,* Independent Kiva Sales & Service,Ryan,No
Firehouse 64,* Independent Kiva Sales & Service,Ryan,No
