Market,Status,Order ID,URL,Order Created,Delivery Date ,Dispensary Name,Dispensary Location,Stock Location,License Number,Product Name,Product Category,Batch #/SKU,Strain,THC,THC-A,Measure,Pull Number,Quantity,Unit Price Net,Stock Quantity,,Net Sales,Month,Quarter,Year
Cann,shipped,167961,https://app.leaf.trade/dashboard/vendor/204/orders/167961/,10/13/21,10/18/21,Rise Illinois,Joliet - Rock Creek Blvd - MED,CANN Vault,280.000011-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",Beverages,8808 0152 2004 6370,,2.105,0,percent,8808 0152 2004 6370,16,$12.00 ,0,,$192.00 ,10,4,2021
Cann,shipped,167979,https://app.leaf.trade/dashboard/vendor/204/orders/167979/,10/13/21,10/18/21,Ascend IL(Chicago),Logan Square - MED,CANN Vault,280-000028-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",Beverages,8808 0152 2004 6370,,2.105,0,percent,8808 0152 2004 6370,32,$12.00 ,0,,$384.00 ,10,4,2021
Cann,shipped,167979,https://app.leaf.trade/dashboard/vendor/204/orders/167979/,10/13/21,10/18/21,Ascend IL(Chicago),Logan Square - MED,CANN Vault,280-000028-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg, case of 4)",Beverages,4646 0443 4030 3675,,2.291,0,percent,4646 0443 4030 3675,40,$12.00 ,0,,$480.00 ,10,4,2021
Cann,shipped,168018,https://app.leaf.trade/dashboard/vendor/204/orders/168018/,10/13/21,10/18/21,Zen Leaf IL,West Loop - REC,CANN Vault,,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",Beverages,8808 0152 2004 6370,,2.105,0,percent,8808 0152 2004 6370,32,$12.00 ,0,,$384.00 ,10,4,2021
Cann,shipped,168018,https://app.leaf.trade/dashboard/vendor/204/orders/168018/,10/13/21,10/18/21,Zen Leaf IL,West Loop - REC,CANN Vault,,"Cann 8oz Social Tonic (6 Pack) 36mg - Grapefruit Rosemary (36mg, case of 4)",Beverages,1638 2968 3320 3813,,2.174,0,percent,1638 2968 3320 3813,24,$12.00 ,0,,$288.00 ,10,4,2021
Cann,shipped,168018,https://app.leaf.trade/dashboard/vendor/204/orders/168018/,10/13/21,10/18/21,Zen Leaf IL,West Loop - REC,CANN Vault,,"Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg, case of 4)",Beverages,6610 7426 1112 2163,,2.048,0,percent,6610 7426 1112 2163,12,$12.00 ,0,,$144.00 ,10,4,2021
Cann,shipped,168022,https://app.leaf.trade/dashboard/vendor/204/orders/168022/,10/13/21,10/18/21,Sunnyside* Illinois,Elmwood Park - MED,CANN Vault,280-000034-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",Beverages,8808 0152 2004 6370,,2.105,0,percent,8808 0152 2004 6370,24,$12.00 ,0,,$288.00 ,10,4,2021
Cann,shipped,168022,https://app.leaf.trade/dashboard/vendor/204/orders/168022/,10/13/21,10/18/21,Sunnyside* Illinois,Elmwood Park - MED,CANN Vault,280-000034-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Grapefruit Rosemary (36mg, case of 4)",Beverages,1638 2968 3320 3813,,2.174,0,percent,1638 2968 3320 3813,12,$12.00 ,0,,$144.00 ,10,4,2021
Cann,shipped,168022,https://app.leaf.trade/dashboard/vendor/204/orders/168022/,10/13/21,10/18/21,Sunnyside* Illinois,Elmwood Park - MED,CANN Vault,280-000034-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg, case of 4)",Beverages,4646 0443 4030 3675,,2.291,0,percent,4646 0443 4030 3675,24,$12.00 ,0,,$288.00 ,10,4,2021
Cann,shipped,168024,https://app.leaf.trade/dashboard/vendor/204/orders/168024/,10/13/21,10/18/21,Sunnyside* Illinois,Wrigleyville - MED,CANN Vault,280-000050-DISP,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",Beverages,8808 0152 2004 6370,,2.105,0,percent,8808 0152 2004 6370,12,$12.00 ,0,,$144.00 ,10,4,2021
