customer,External ID,license number,order_date,orderID,customer_po,start_ship_date,bill_street,bill_street2,bill_city,bill_state,bill_postcode,bill_country,ship_street,ship_street2,ship_city,ship_state,ship_postcode,ship_country,phone,fax,email,contact,rep,cancel_date,ship_method,notes,sku,brand,product_line,Qty (Units),Qty (Cases),product,sale_price,is_sample,customer_external_id,payment_terms,payment_methods,original_sale_price,source,manual,externalOrderID,original_unit_price,status,line_item_total,strain,strain_classification,category,service_zone,unit_price,paid,paid_date,paid_approver,custom_menu_price,production_batch_number,created_by,buyer_paid,delivered_date,sub_category,unit_of_measure,base_units_per_unit,,Delivered?,Month,Quarter,Year,Delivery
Northeast Alternatives,621,MP281319,12-10-2021 12:03,66025a95,,12-01-2021,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,621,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,South Shore / Cape Cod,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Northeast Alternatives,621,MP281319,12-10-2021 12:03,66025a95,,12-01-2021,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,621,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,South Shore / Cape Cod,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Northeast Alternatives,621,MP281319,12-10-2021 12:03,66025a95,,12-01-2021,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,621,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,South Shore / Cape Cod,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Northeast Alternatives,621,MP281319,12-10-2021 12:03,66025a95,,12-01-2021,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,999 William S Canning Blvd,,Fall River,MA,2721,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,621,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,South Shore / Cape Cod,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,200,50,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$48.00 ,Complete,"$2,400.00 ",,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,200,50,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$48.00 ,Complete,"$2,400.00 ",,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,180,45,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$48.00 ,Complete,"$2,160.00 ",,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406S,Cann Social Tonics,SAM - Internal Products,15,3.75,SAM - Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$0.08 ,Complete,$0.15 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407S,Cann Social Tonics,SAM - Internal Products,15,3.75,SAM - Grapefruit Rosemary - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$0.08 ,Complete,$0.15 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mission Georgetown,636,RMD-285-R,12/14/21 12:52,c833f814,,12-01-2021,401 East Main St,,Georgetown,MA,1833,United States of America,401 East Main St,,Georgetown,MA,1833,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405S,Cann Social Tonics,SAM - Internal Products,15,3.75,SAM - Lemon Lavender - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,636,$0.08 ,Complete,$0.15 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
