customer,External ID,license number,order_date,orderID,customer_po,start_ship_date,bill_street,bill_street2,bill_city,bill_state,bill_postcode,bill_country,ship_street,ship_street2,ship_city,ship_state,ship_postcode,ship_country,phone,fax,email,contact,rep,cancel_date,ship_method,notes,sku,brand,product_line,Qty (Units),Qty (Cases),product,sale_price,is_sample,customer_external_id,payment_terms,payment_methods,original_sale_price,source,manual,externalOrderID,original_unit_price,status,line_item_total,strain,strain_classification,category,service_zone,unit_price,paid,paid_date,paid_approver,custom_menu_price,production_batch_number,created_by,buyer_paid,delivered_date,sub_category,unit_of_measure,base_units_per_unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,450d9bbddd176baa0513,Cann Social Tonics,Social Tonics Core 6-Packs,60,15,Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$32.00 ,Complete,$480.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,4b21b40fbca7b8c0fd85,Cann Social Tonics,Social Tonics Core 6-Packs,75,18.75,Grapefruit Rosemary 8oz. 6-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$32.00 ,Complete,$600.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,4373913914c9a21eff52,Cann Social Tonics,Social Tonics Core 6-Packs,95,23.75,Lemon Lavender - 8oz. 6-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$32.00 ,Complete,$760.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,4392a5410398c93245c0,Cann Social Tonics,Social Tonics Core 6-Packs,15,3.75,Cranberry Sage 8oz. 6-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$32.00 ,Complete,$120.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,4a22ac613e4da5c6c6e6,Cann Social Tonics,Winter Seasonal,15,2.5,Cranberry Sage Hi Boy - 4-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$54.00 ,Complete,$135.00 ,,N/A,Edibles & Ingestibles,,$54.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
Essence Dispensary - Durango,100,9.27184E+18,12/9/21 15:43,02001ccd,,12/1/21,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,6410 S Durango Dr,,Las Vegas,NV,89113,United States of America,,,megan@cannandbotl.com,Megan Little,Gia Kubik,,,,4b97ba488957ee292040,Cann Social Tonics,PRO - Internal Products,10,2.5,PRO - Cranberry Sage 8oz. 6-Pack,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,100,$0.04 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
MedMen Las Vegas - Spring Valley,104,4.71821E+19,12/7/21 17:03,c3689ca7,,12/2/21,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,,,megan@cannandbotl.com,Megan Little,,,,,450d9bbddd176baa0513,Cann Social Tonics,Social Tonics Core 6-Packs,12,3,Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,FALSE,,,,,leaflink,TRUE,104,$32.00 ,Complete,$96.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
MedMen Las Vegas - Spring Valley,104,4.71821E+19,12/7/21 17:03,c3689ca7,,12/2/21,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,,,megan@cannandbotl.com,Megan Little,,,,,4b21b40fbca7b8c0fd85,Cann Social Tonics,Social Tonics Core 6-Packs,12,3,Grapefruit Rosemary 8oz. 6-Pack,$0.00 ,FALSE,,,,,leaflink,TRUE,104,$32.00 ,Complete,$96.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
MedMen Las Vegas - Spring Valley,104,4.71821E+19,12/7/21 17:03,c3689ca7,,12/2/21,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,,,megan@cannandbotl.com,Megan Little,,,,,4392a5410398c93245c0,Cann Social Tonics,Social Tonics Core 6-Packs,24,6,Cranberry Sage 8oz. 6-Pack,$0.00 ,FALSE,,,,,leaflink,TRUE,104,$32.00 ,Complete,$192.00 ,,2:1 CBD,Edibles & Ingestibles,,$32.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
MedMen Las Vegas - Spring Valley,104,4.71821E+19,12/7/21 17:03,c3689ca7,,12/2/21,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,6332 S Rainbow Blvd,#105,Las Vegas,NV,89118,United States of America,,,megan@cannandbotl.com,Megan Little,,,,,4a22ac613e4da5c6c6e6,Cann Social Tonics,Winter Seasonal,30,5,Cranberry Sage Hi Boy - 4-Pack,$0.00 ,FALSE,,,,,leaflink,TRUE,104,$54.00 ,Complete,$270.00 ,,N/A,Edibles & Ingestibles,,$54.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit
