Product,SKU Number,Distro,Type,Format,Packout,Sample,Flavor,Rename,,,8oz Pack Type,,,,
CANN Blood Orange Cardamom 6pk,BOC-8oz-6,Kiva,Core,8oz,6,,BOC,Core 8oz Packs,,,BOC,,,,"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)"
CANN Blood Orange Cardamom 6pk 8oz,BOC-8oz-6,Kiva,Core,8oz,6,,BOC,Core 8oz Packs,,,LL,,,,Cann 8oz Social Tonic (6 Pack) 36mg - Cranberry Sage (36mg)
CANN Blood Orange Cardamom 6pk Sample,BOC-8oz-6,Kiva,Core,8oz,6,,BOC,Core 8oz Packs,,,GR,,,,"CANN 8oz  Social Tonic (6 Pack) 36mg - Yuzu Elderflower (36mg, case of 4)"
CANN Blood Orange Cardamom Pack of 6,BOC-8oz-6,Kiva,Core,8oz,6,,BOC,Core 8oz Packs,,,CS,,,,"Cann 12oz Social Tonic (4 Pack) 20mg -  Blood Orange Cardamom (hi boy) (20mg, case of 6)"
CANN Blood Orange Cardamom Single,BOC-8oz-1,Kiva,Core,8oz,1,,BOC,Core 8oz Singles,,,GL,,,,"Cann 12oz Social Tonic (4 Pack) 20mg - Cranberry Sage (hi boy) (20mg, case of 6)"
CANN Blood Orange Cardamom Single 8oz,BOC-8oz-1,Kiva,Core,8oz,1,,BOC,Core 8oz Singles,,,PJ,,,,"Cann 12oz Social Tonic (4 Pack) 20mg -  Grapefruit Rosemary (hi boy) (20mg, case of 6)"
CANN Cranberry Sage 4pk,CS-8oz-4,Kiva,Seasonal,8oz,4,,CS,Seasonal 8oz Packs,,,Lite,,,,"Cann 12oz Social Tonic (4 Pack) 20mg - Lemon Lavender (hi boy) (20mg, case of 6)"
CANN Cranberry Sage 6pk 8oz,CS-8oz-6,Kiva,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,YE,,,,"Cann 8oz Social Tonic (6 Pack) 36mg - Grapefruit Rosemary (36mg, case of 4)"
CANN Cranberry Sage Bottle,CS-Bottle-1,Kiva,Seasonal,Bottle,1,,CS,Special Products,,,Variety,,,,"Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg, case of 4)"
CANN Cranberry Sage Popping Space Crystals,CS-Crystals-1,Kiva,Seasonal,Crystals,1,,CS,Special Products,,,,,,,"Cann 8oz Social Tonic (6 Pack) 36mg - Cranberry Sage (36mg, case of 4)"
CANN Cranberry Sage Single,CS-8oz-1,Kiva,Seasonal,8oz,1,,CS,Seasonal 8oz Singles,,,,,,,Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg)
CANN Ginger Lemongrass 4pk,GL-8oz-4,Kiva,Seasonal,8oz,4,,GL,Seasonal 8oz Packs,,,,,,,Cann 12oz Social Tonic (4 Pack) 20mg -  Blood Orange Cardamom (hi boy) (20mg)
CANN Ginger Lemongrass 4pk 8oz,GL-8oz-4,Kiva,Seasonal,8oz,4,,GL,Seasonal 8oz Packs,,,,,,,CANN 8oz  Social Tonic (6 Pack) 36mg - Yuzu Elderflower (36mg)
CANN Grapefruit Lite 4pk,Lite-8oz-4,Kiva,Lites,8oz,4,,Lite,Lites,,,,,,,Cann 12oz Social Tonic (4 Pack) 20mg - Cranberry Sage (hi boy) (20mg)
CANN Grapefruit Rosemary 6pk,GR-8oz-6,Kiva,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,"Cann 12oz Social Tonic (4 Pack) 20mg - Ginger Lemongrass (hi boy) (20mg, case of 6)"
