Distributor SKU Name,Market,Size,SKU Family,  Suggested Retail  
Blood Orange Cardamom 6pk 8oz,CA,8oz,Core, $18.00 
Lemon Lavender 6pk 8oz,CA,8oz,Core, $18.00 
Grapefruit Rosemary 6pk 8oz,CA,8oz,Core, $18.00 
Cranberry Sage 6pk 8oz,CA,8oz,Seasonal, $23.00 
Ginger Lemongrass 6pk 8oz,CA,8oz,Seasonal, $23.00 
Pineapple Jalapeno 6pk 8oz,CA,8oz,Seasonal, $23.00 
Grapefruit Rosemary Lite 6pk,CA,8oz,Lite, $23.00 
Honeydew Mint Lite 6pk,CA,8oz,Lite, $23.00 
Yuzu Elderflower 6pk 8oz,CA,8oz,Reserve, $24.00 
Lime Basil 4pk 8oz,CA,8oz,Custom, $16.00 
Hi-Boys Blood Orange Cardamom 4pk,CA,12oz,Core, $20.00 
Hi-Boys Lemon Lavender 4pk,CA,12oz,Core, $20.00 
Hi-Boys Grapefruit Rosemary 4pk,CA,12oz,Core, $20.00 
Hi-Boys Cranberry Sage 4pk,CA,12oz,Seasonal, $24.00 
Hi-Boys Ginger Lemongrass 4pk,CA,12oz,Seasonal, $24.00 
Hi-Boys Pineapple Jalapeno 4pk,CA,12oz,Seasonal, $24.00 
Hi-Boys Passion Peach Mate 4pk - Airfield,CA,12oz,Custom, $16.00 
Hi-Boys Passion Peach Mate 4pk - Sweet Flower,CA,12oz,Custom, $16.00 
Hi-Boys Blue Rhuberry - Eaze,CA,12oz,Custom, $16.00 
Roadies Blood Orange Cardamom 8pk,CA,Satchet,Core, $18.00 
Roadies Lemon Lavender 8pk,CA,Satchet,Core, $18.00 
Roadies Grapefruit Rosemary 8pk,CA,Satchet,Core, $18.00 
Roadies Ginger Lemongrass 8pk,CA,Satchet,Seasonal, $23.00 
,,,,
Blood Orange Cardamom 6pk 8oz,NV,8oz,Core, $16.00 
Lemon Lavender 6pk 8oz,NV,8oz,Core, $16.00 
Grapefruit Rosemary 6pk 8oz,NV,8oz,Core, $16.00 
Hi-Boys Blood Orange Cardamom 4pk,NV,12oz,Core, $18.00 
Hi-Boys Lemon Lavender 4pk,NV,12oz,Core, $18.00 
Hi-Boys Grapefruit Rosemary 4pk,NV,12oz,Core, $18.00 
Ginger Lemongrass 6pk 8oz,NV,8oz,Seasonal, $16.00 
Pineapple Jalapeno 6pk 8oz,NV,8oz,Seasonal, $16.00 
Cranberry Sage 6pk 8oz,NV,8oz,Seasonal, $16.00 
Hi-Boys Ginger Lemongrass 4pk,NV,12oz,Seasonal, $18.00 
Hi-Boys Pineapple Jalapeno 4pk,NV,12oz,Seasonal, $18.00 
Hi-Boys Cranberry Sage 4pk,NV,12oz,Seasonal, $18.00 
,,,,
Blood Orange Cardamom 6pk 8oz,IL,8oz,Core, $24.00 
Lemon Lavender 6pk 8oz,IL,8oz,Core, $24.00 
Grapefruit Rosemary 6pk 8oz,IL,8oz,Core, $24.00 
Hi-Boys Blood Orange Cardamom 4pk,IL,12oz,Core, $28.00 
Hi-Boys Lemon Lavender 4pk,IL,12oz,Core, $28.00 
Hi-Boys Grapefruit Rosemary 4pk,IL,12oz,Core, $28.00 
Ginger Lemongrass 6pk 8oz,IL,8oz,Seasonal, $24.00 
Pineapple Jalapeno 6pk 8oz,IL,8oz,Seasonal, $24.00 
Cranberry Sage 6pk 8oz,IL,8oz,Seasonal, $24.00 
Hi-Boys Ginger Lemongrass 4pk,IL,12oz,Seasonal, $28.00 
Hi-Boys Pineapple Jalapeno 4pk,IL,12oz,Seasonal, $28.00 
Hi-Boys Cranberry Sage 4pk,IL,12oz,Seasonal, $28.00 
Yuzu Elderflower 6pk 8oz,IL,8oz,Reserve, $30.00 
,,,,
Blood Orange Cardamom 6pk 8oz,MA,8oz,Core, $24.00 
Lemon Lavender 6pk 8oz,MA,8oz,Core, $24.00 
Grapefruit Rosemary 6pk 8oz,MA,8oz,Core, $24.00 
Hi-Boys Blood Orange Cardamom 4pk,MA,12oz,Core, $28.00 
Hi-Boys Lemon Lavender 4pk,MA,12oz,Core, $28.00 
Hi-Boys Grapefruit Rosemary 4pk,MA,12oz,Core, $28.00 
Ginger Lemongrass 6pk 8oz,MA,8oz,Seasonal, $24.00 
Pineapple Jalapeno 6pk 8oz,MA,8oz,Seasonal, $24.00 
Cranberry Sage 6pk 8oz,MA,8oz,Seasonal, $24.00 
Hi-Boys Ginger Lemongrass 4pk,MA,12oz,Seasonal, $28.00 
Hi-Boys Pineapple Jalapeno 4pk,MA,12oz,Seasonal, $28.00 
Hi-Boys Cranberry Sage 4pk,MA,12oz,Seasonal, $28.00 
,,,,
Blood Orange Cardamom 6pk 8oz,RI,8oz,Core, $24.00 
Lemon Lavender 6pk 8oz,RI,8oz,Core, $24.00 
Grapefruit Rosemary 6pk 8oz,RI,8oz,Core, $24.00 
,,,,
Blood Orange Cardamom 6pk 8oz,AZ,8oz,Core, $24.00 
Lemon Lavender 6pk 8oz,AZ,8oz,Core, $24.00 
Grapefruit Rosemary 6pk 8oz,AZ,8oz,Core, $24.00 
,,,,
Blood Orange Cardamom 4pk 8oz,ON,8oz,Core, $20.95 
Lemon Lavender 4pk 8oz,ON,8oz,Core, $20.95 
Grapefruit Rosemary 4pk 8oz,ON,8oz,Core, $20.95 
,,,,
Blood Orange Cardamom 4pk 8oz,BC,8oz,Core, $17.99 
Lemon Lavender 4pk 8oz,BC,8oz,Core, $17.99 
Grapefruit Rosemary 4pk 8oz,BC,8oz,Core, $17.99 
