,0,1,2,3
0,Company,Date,Months,$Vol
1,(INACTIVE) Sol Distro,1/28/2022,Jan,"$1,404.00"
2,(Inactive)Harvest - Palm Springs,1/12/2022,Jan,$0.18
3,(Inactive)Harvest - Palm Springs,2/2/2022,Feb,$168.16
4,(Inactive)Harvest - Palm Springs,2/16/2022,Feb,$0.12
5,(Inactive)Harvest - Palm Springs,3/2/2022,Mar,$280.00
6,(Inactive)Harvest - Palm Springs,4/11/2022,Apr,$180.00
7,(Inactive)Harvest - Palm Springs,5/16/2022,May,$328.00
8,(Inactive)Harvest - Palm Springs,6/13/2022,Jun,$144.00
9,(Inactive)Harvest - Palm Springs,7/18/2022,Jul,$72.00
10,(Inactive)Harvest - Pasadena,2/23/2022,Feb,"$2,164.86"
11,(Inactive)Secure Hauling,8/1/2022,Aug,$15.00
12,101 M Street Dispensary Inc,11/1/2022,Nov,$108.00
13,105TH MANAGEMENT,1/20/2022,Jan,$0.04
14,1841 El Camino (Horizon),10/27/2022,Oct,$0.01
15,2ONE2 California,1/24/2022,Jan,$216.00
16,2ONE2 California,2/21/2022,Feb,$144.00
17,2ONE2 California,4/18/2022,Apr,$324.00
18,2ONE2 California,5/16/2022,May,$252.00
19,2ONE2 California,6/30/2022,Jun,$480.00
20,2ONE2 California,8/24/2022,Aug,$336.00
21,3 Bros Midtown,1/26/2022,Jan,$706.00
22,3 Bros Midtown,3/9/2022,Mar,$0.92
23,3 Bros Santa Cruz,1/5/2022,Jan,$144.00
24,3 Bros Santa Cruz,1/24/2022,Jan,$348.00
25,3 Bros Santa Cruz,2/2/2022,Feb,$703.00
26,3 Bros Santa Cruz,2/28/2022,Feb,$672.00
27,3 Bros Santa Cruz,3/28/2022,Mar,$732.00
28,3 Bros Santa Cruz,4/25/2022,Apr,$832.00
29,3 Bros Santa Cruz,5/23/2022,May,$672.00
30,3 Bros Santa Cruz,6/22/2022,Jun,"$1,224.00"
31,3 Bros Santa Cruz,7/11/2022,Jul,$432.00
32,3 Bros Santa Cruz,7/18/2022,Jul,$0.12
33,3 Bros Santa Cruz,8/1/2022,Aug,"$1,056.00"
34,3 Bros Santa Cruz,8/22/2022,Aug,$0.24
35,3 Bros Santa Cruz,8/31/2022,Aug,$912.00
36,3 Bros Santa Cruz,10/3/2022,Oct,$684.00
37,3 Bros Santa Cruz,10/10/2022,Oct,$0.10
38,3 Bros Santa Cruz,10/26/2022,Oct,"$1,123.00"
39,365 Recreational Cannabis,1/13/2022,Jan,$144.00
40,365 Recreational Cannabis,3/10/2022,Mar,$144.00
41,365 Recreational Cannabis,3/24/2022,Mar,$72.00
42,365 Recreational Cannabis,3/31/2022,Mar,$72.00
43,365 Recreational Cannabis,4/7/2022,Apr,$72.00
44,365 Recreational Cannabis,4/14/2022,Apr,$72.00
45,365 Recreational Cannabis,4/21/2022,Apr,$144.00
46,365 Recreational Cannabis,5/5/2022,May,$72.00
47,365 Recreational Cannabis,5/23/2022,May,$216.00
48,365 Recreational Cannabis,6/23/2022,Jun,$288.00
49,365 Recreational Cannabis,7/7/2022,Jul,"$1,008.00"
50,365 Recreational Cannabis,8/4/2022,Aug,$576.00
51,365 Recreational Cannabis,8/22/2022,Aug,$0.04
52,365 Recreational Cannabis,9/1/2022,Sep,$720.02
53,365 Recreational Cannabis,9/22/2022,Sep,$396.00
54,365 Recreational Cannabis,10/27/2022,Oct,$0.36
55,365 Recreational Cannabis,11/3/2022,Nov,$576.00
56,420 Central,11/2/2022,Nov,$0.12
57,420 Central,11/9/2022,Nov,$0.03
58,7 Stars Holistic Healing Center,8/5/2022,Aug,$0.06
59,7 Stars Holistic Healing Center,8/19/2022,Aug,$504.00
60,7 Stars Holistic Healing Center,9/9/2022,Sep,$0.96
61,7 Stars Holistic Healing Center,9/23/2022,Sep,$264.00
62,7 Stars Holistic Healing Center,10/14/2022,Oct,$192.00
63,7 Stars Holistic Healing Center,10/21/2022,Oct,$72.25
64,7 Stars Holistic Healing Center,10/28/2022,Oct,$0.20
65,7 Stars Holistic Healing Center,11/11/2022,Nov,$1.80
66,A Therapeutic Alternative,10/4/2022,Oct,$0.01
67,A Therapeutic Alternative,11/1/2022,Nov,$0.01
68,Abatin Wellness Center,5/17/2022,May,$0.01
69,Abatin Wellness Center,10/4/2022,Oct,$0.01
70,Abatin Wellness Center,10/11/2022,Oct,$0.02
71,Abatin Wellness Center,11/1/2022,Nov,$0.02
72,ABIDE NAPA,1/21/2022,Jan,$216.00
73,AHHS Weho,1/12/2022,Jan,"$1,560.00"
74,AHHS Weho,4/5/2022,Apr,$360.00
75,AHHS Weho,9/20/2022,Sep,$0.20
76,AHHS Weho,11/15/2022,Nov,$0.06
77,Airfield Supply Co.,1/5/2022,Jan,"$2,640.00"
78,Airfield Supply Co.,1/12/2022,Jan,"$2,456.00"
79,Airfield Supply Co.,1/19/2022,Jan,"$3,776.00"
80,Airfield Supply Co.,2/9/2022,Feb,"$1,912.00"
81,Airfield Supply Co.,2/16/2022,Feb,"$1,908.00"
82,Airfield Supply Co.,2/23/2022,Feb,"$1,368.00"
83,Airfield Supply Co.,3/2/2022,Mar,$768.00
84,Airfield Supply Co.,3/9/2022,Mar,"$1,080.00"
85,Airfield Supply Co.,3/16/2022,Mar,"$1,345.00"
86,Airfield Supply Co.,3/23/2022,Mar,"$4,644.00"
87,Airfield Supply Co.,3/30/2022,Mar,$360.00
88,Airfield Supply Co.,4/1/2022,Apr,($368.60)
89,Airfield Supply Co.,4/5/2022,Apr,"($1,249.20)"
90,Airfield Supply Co.,4/8/2022,Apr,$0.48
91,Airfield Supply Co.,4/11/2022,Apr,"($1,220.66)"
92,Airfield Supply Co.,4/12/2022,Apr,$610.33
93,Airfield Supply Co.,4/18/2022,Apr,($388.32)
94,Airfield Supply Co.,4/20/2022,Apr,$984.00
95,Airfield Supply Co.,4/21/2022,Apr,($123.20)
96,Airfield Supply Co.,4/29/2022,Apr,"$3,426.00"
97,Airfield Supply Co.,5/4/2022,May,"($1,890.40)"
98,Airfield Supply Co.,5/9/2022,May,"$1,890.40"
99,Airfield Supply Co.,5/13/2022,May,"$1,044.00"
100,Airfield Supply Co.,5/17/2022,May,($187.30)
101,Airfield Supply Co.,5/20/2022,May,"$2,160.00"
102,Airfield Supply Co.,5/24/2022,May,($318.20)
103,Airfield Supply Co.,5/27/2022,May,"$2,100.00"
104,Airfield Supply Co.,6/3/2022,Jun,"$1,080.00"
105,Airfield Supply Co.,6/10/2022,Jun,"$1,728.00"
106,Airfield Supply Co.,6/17/2022,Jun,($888.20)
107,Airfield Supply Co.,6/24/2022,Jun,$504.00
108,Airfield Supply Co.,7/8/2022,Jul,"$4,032.00"
109,Airfield Supply Co.,7/15/2022,Jul,$288.12
110,Airfield Supply Co.,7/22/2022,Jul,$505.62
111,Airfield Supply Co.,7/29/2022,Jul,"$1,441.68"
112,Airfield Supply Co.,8/5/2022,Aug,"$3,096.60"
113,Airfield Supply Co.,8/19/2022,Aug,$432.00
114,Airfield Supply Co.,8/26/2022,Aug,"$1,297.00"
115,Airfield Supply Co.,9/2/2022,Sep,$936.00
116,Airfield Supply Co.,9/7/2022,Sep,($72.00)
117,Airfield Supply Co.,9/9/2022,Sep,"$2,160.00"
118,Airfield Supply Co.,9/16/2022,Sep,$360.00
119,Airfield Supply Co.,9/23/2022,Sep,"$1,728.05"
120,Airfield Supply Co.,9/30/2022,Sep,$453.60
121,Airfield Supply Co.,10/7/2022,Oct,"$1,872.00"
122,Airfield Supply Co.,10/14/2022,Oct,$540.00
123,Airfield Supply Co.,10/21/2022,Oct,$2.62
124,Airfield Supply Co.,10/28/2022,Oct,"$2,340.00"
125,Airfield Supply Co.,11/4/2022,Nov,$0.02
126,Airfield Supply Co.,11/11/2022,Nov,$576.00
127,Alexander Valley Organics Inc.,4/27/2022,Apr,$120.00
128,Alexander Valley Organics Inc.,6/22/2022,Jun,$144.00
129,Alexander Valley Organics Inc.,7/20/2022,Jul,$72.00
130,Alexander Valley Organics Inc.,8/17/2022,Aug,$72.00
131,Alexander Valley Organics Inc.,11/9/2022,Nov,$0.02
132,All Natural Inc,2/21/2022,Feb,$72.04
133,All Natural Inc,3/7/2022,Mar,$108.00
134,All Natural Inc,4/28/2022,Apr,$72.00
135,All Natural Inc,5/23/2022,May,$72.11
136,All Natural Inc,6/16/2022,Jun,$96.00
137,All Natural Inc,6/30/2022,Jun,$264.01
138,All Natural Inc,7/21/2022,Jul,$144.00
139,"Aloha Aina, Inc",1/24/2022,Jan,$72.00
140,"Aloha Aina, Inc",3/17/2022,Mar,$108.00
141,"Aloha Aina, Inc",4/14/2022,Apr,$108.00
142,"Aloha Aina, Inc",5/12/2022,May,$108.00
143,"Aloha Aina, Inc",6/27/2022,Jun,$192.00
144,"Aloha Aina, Inc",7/28/2022,Jul,$192.06
145,Alpha Core Inc.-Distro,1/20/2022,Jan,$0.04
146,AMC,1/4/2022,Jan,$108.12
147,AMC,1/10/2022,Jan,$144.00
148,AMC,1/18/2022,Jan,$72.00
149,AMC,1/24/2022,Jan,$72.00
150,AMC,2/21/2022,Feb,$108.00
151,AMC,3/7/2022,Mar,$36.33
152,AMC,3/21/2022,Mar,$108.00
153,AMC,3/28/2022,Mar,$108.00
154,AMC,4/18/2022,Apr,$36.00
155,AMC,4/25/2022,Apr,$108.00
156,AMC,7/5/2022,Jul,$144.00
157,AMC,7/18/2022,Jul,$96.00
158,AMC,8/1/2022,Aug,$144.00
159,AMC,8/8/2022,Aug,$48.00
160,AMC,8/29/2022,Aug,$144.00
161,AMC,9/12/2022,Sep,$48.00
162,AMC,9/26/2022,Sep,$108.24
163,AMC,11/7/2022,Nov,$220.83
164,Amuse - Culver City,1/14/2022,Jan,$0.16
165,Amuse - Culver City,1/21/2022,Jan,$0.16
166,Amuse - Culver City,1/28/2022,Jan,$0.16
167,Amuse - Culver City,2/18/2022,Feb,$630.00
168,Amuse - Culver City,2/25/2022,Feb,$1.00
169,Amuse - Culver City,3/4/2022,Mar,$108.09
170,Amuse - Culver City,3/18/2022,Mar,$354.00
171,Amuse - Culver City,4/8/2022,Apr,$432.00
172,Amuse - Culver City,4/15/2022,Apr,$432.00
173,Amuse - Culver City,4/22/2022,Apr,"$1,566.00"
