Door,Account,Invoice #,Order Date,Status,Day,Week,Month,Quarter,Year,Deal?,SKU,Implied,Discount,Order,# Units,Gross Sales,Net Sales,$ Credit,Net Sales,$ Free,$ Discount,$ Promo
The Dispensary Henderson,The Dispensary,18732,3/30/21,Delivered,4/2/21,13,4,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,($90.00),$270.00,-- ,-- ,-- 
Apothecarium,Apothecarium,18806,3/30/21,Delivered,4/6/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,120,"$1,080.00","$1,080.00",-- ,"$1,080.00",-- ,-- ,-- 
Apothecarium,Apothecarium,18806,3/30/21,Delivered,4/6/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,120,"$1,080.00","$1,080.00",-- ,"$1,080.00",-- ,-- ,-- 
Apothecarium,Apothecarium,18806,3/30/21,Delivered,4/6/21,14,4,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,80,$720.00,$720.00,-- ,$720.00,-- ,-- ,-- 
Apothecarium,Apothecarium,18806,3/30/21,Delivered,4/6/21,14,4,2,2021,,Ginger Lemongrass 8oz 4pk,$7.00,,$7.00,50,$350.00,$350.00,-- ,$350.00,-- ,-- ,-- 
The Source Henderson,The Source,18808,3/31/21,Delivered,4/6/21,14,4,2,2021,Free,Lemon Lavender 8oz 6pk,$0.01,,$0.01,25,$225.00,$0.25,-- ,$0.25,($225),-- ,-- 
The Source Henderson,The Source,18808,3/31/21,Delivered,4/6/21,14,4,2,2021,Free,Grapefruit Rosemary 8oz 6pk,$0.01,,$0.01,25,$225.00,$0.25,-- ,$0.25,($225),-- ,-- 
The Source Rainbow,The Source,18809,3/31/21,Delivered,4/6/21,14,4,2,2021,Free,Lemon Lavender 8oz 6pk,$0.01,,$0.01,25,$225.00,$0.25,-- ,$0.25,($225),-- ,-- 
The Source Rainbow,The Source,18809,3/31/21,Delivered,4/6/21,14,4,2,2021,Free,Grapefruit Rosemary 8oz 6pk,$0.01,,$0.01,25,$225.00,$0.25,-- ,$0.25,($225),-- ,-- 
Thrive Reno,Thrive,18617,3/10/21,Delivered,4/9/21,14,4,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,100,$300.00,$300.00,-- ,$300.00,-- ,-- ,-- 
Essence Strip,GTI,18623,3/11/21,Delivered,4/9/21,14,4,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,50,$150.00,$150.00,-- ,$150.00,-- ,-- ,-- 
Essence Strip,GTI,18623,3/18/21,Delivered,4/9/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,15,$135.00,$135.00,-- ,$135.00,-- ,-- ,-- 
Essence Strip,GTI,18623,3/18/21,Delivered,4/9/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,15,$135.00,$135.00,-- ,$135.00,-- ,-- ,-- 
Rise Carson City,GTI,18625,3/11/21,Delivered,4/9/21,14,4,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,200,$600.00,$600.00,-- ,$600.00,-- ,-- ,-- 
Rise Carson City,GTI,18625,3/11/21,Delivered,4/9/21,14,4,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,30,-- ,$0.30,-- ,$0.30,-- ,-- ,($90)
Rise Carson City,GTI,18625,3/18/21,Delivered,4/9/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,60,$540.00,$540.00,-- ,$540.00,-- ,-- ,-- 
Rise Carson City,GTI,18625,3/18/21,Delivered,4/9/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,90,$810.00,$810.00,-- ,$810.00,-- ,-- ,-- 
Rise Carson City,GTI,18625,3/18/21,Delivered,4/9/21,14,4,2,2021,,Grapefruit Rosemary 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
Rise Carson City,GTI,18625,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Lemon Lavender 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Rise Carson City,GTI,18625,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Rise Carson City,GTI,18625,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Rise Spanish Springs,GTI,18626,3/11/21,Delivered,4/9/21,14,4,2,2021,,Ginger Lemongrass 12oz Single,$3.00,,$3.00,130,$390.00,$390.00,-- ,$390.00,-- ,-- ,-- 
Rise Spanish Springs,GTI,18626,3/11/21,Delivered,4/9/21,14,4,2,2021,Promo,Ginger Lemongrass 12oz Single,$0.01,,$0.01,10,-- ,$0.10,-- ,$0.10,-- ,-- ,($30)
Rise Spanish Springs,GTI,18626,3/18/21,Delivered,4/9/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
Rise Spanish Springs,GTI,18626,3/18/21,Delivered,4/9/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
Essence Henderson,GTI,18810,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Lemon Lavender 8oz Single,$0.01,,$0.01,600,-- ,$6.00,-- ,$6.00,-- ,-- ,($894)
Essence Henderson,GTI,18810,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,600,-- ,$6.00,-- ,$6.00,-- ,-- ,($894)
Essence Henderson,GTI,18810,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,600,-- ,$6.00,-- ,$6.00,-- ,-- ,($894)
Essence Tropicana,GTI,18811,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Lemon Lavender 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Essence Tropicana,GTI,18811,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Essence Tropicana,GTI,18811,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Grapefruit Rosemary 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Essence Durango,GTI,18812,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Lemon Lavender 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Essence Durango,GTI,18812,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Blood Orange Cardamom 8oz Single,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,($447)
Essence Durango,GTI,18812,3/30/21,Delivered,4/9/21,14,4,2,2021,Promo,Grapefruit Rosemary 8oz 6pk,$0.01,,$0.01,300,-- ,$3.00,-- ,$3.00,-- ,-- ,"($2,697)"
Mynt North,Mynt,18841,4/4/21,Delivered,4/9/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,35,$315.00,$315.00,-- ,$315.00,-- ,-- ,-- 
Mynt North,Mynt,18841,4/4/21,Delivered,4/9/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,20,$180.00,$180.00,-- ,$180.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,18842,4/4/21,Delivered,4/9/21,14,4,2,2021,,Lemon Lavender 8oz 6pk,$9.00,,$9.00,40,$360.00,$360.00,-- ,$360.00,-- ,-- ,-- 
The Dispensary Reno,The Dispensary,18842,4/4/21,Delivered,4/9/21,14,4,2,2021,,Blood Orange Cardamom 8oz 6pk,$9.00,,$9.00,30,$270.00,$270.00,-- ,$270.00,-- ,-- ,-- 
