Product,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
   CANN Blood Orange Cardamom 6pk PROMO,07/07/2021,Invoice,1264,CANN - Las Vegas Releaf,"PR# FG3CN4031206210514
Metrc# 2172",40,0.01  ,0.40  ,0.40  
   CANN Grapefruit Rosemary 6pk PROMO,07/07/2021,Invoice,1264,CANN - Las Vegas Releaf,"PR# FG3CN4021206210513
Metrc# 2173",30,0.01  ,0.30  ,0.30  
   CANN Lemon Lavender 6pk PROMO,07/07/2021,Invoice,1264,CANN - Las Vegas Releaf,"PR# FG3CN4011206210429
Metrc# 2174",40,0.01  ,0.40  ,0.40  
,07/07/2021,Invoice,1264,CANN - Las Vegas Releaf,,100,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/09/2021,Invoice,1270,CANN - Essence Durango,"PR# FG3CN4031206210514
Metrc# 2184",60,9.00  ,540.00  ,"4,608.00  "
   CANN Blood Orange Cardamom 6pk,07/09/2021,Invoice,1271,CANN - Essence Rainbow,"PR# FG3CN4031206210514
Metrc# 2189",96,9.00  ,864.00  ,"5,472.00  "
   CANN Blood Orange Cardamom 6pk,07/09/2021,Invoice,1268,CANN - Essence Henderson,"PR# FG3CN4031206210514
Metrc# 2195",84,9.00  ,756.00  ,"6,228.00  "
   CANN Blood Orange Cardamom 6pk,07/09/2021,Invoice,1269,CANN - Essence Tropicana,"PR# FG3CN4031206210514
Metrc# 2187",64,9.00  ,576.00  ,"6,804.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/09/2021,Invoice,1268,CANN - Essence Henderson,"PR# FG3CN4040804210310
Metrc# 2194",18,7.00  ,126.00  ,672.00  
   CANN Grapefruit Rosemary 6pk,07/09/2021,Invoice,1268,CANN - Essence Henderson,"PR# FG3CN4021206210513
Metrc# 2192",32,9.00  ,288.00  ,"2,871.00  "
   CANN Grapefruit Rosemary 6pk,07/09/2021,Invoice,1270,CANN - Essence Durango,"PR# FG3CN4021206210513
Metrc# 2185",44,9.00  ,396.00  ,"3,267.00  "
   CANN Lemon Lavender 6pk,07/09/2021,Invoice,1270,CANN - Essence Durango,"PR# FG3CN4011206210429
Metrc# 2186",80,9.00  ,720.00  ,"5,364.00  "
   CANN Lemon Lavender 6pk,07/09/2021,Invoice,1271,CANN - Essence Rainbow,"PR# FG3CN4011206210429
Metrc# 2190",112,9.00  ,"1,008.00  ","6,372.00  "
   CANN Lemon Lavender 6pk,07/09/2021,Invoice,1268,CANN - Essence Henderson,"PR# FG3CN4011206210429
Metrc# 2193",72,9.00  ,648.00  ,"7,020.00  "
   CANN Lemon Lavender 6pk,07/09/2021,Invoice,1269,CANN - Essence Tropicana,"PR# FG3CN4011206210429
Metrc# 2188",36,9.00  ,324.00  ,"7,344.00  "
,07/09/2021,Invoice,1270,CANN - Essence Durango,,284,0.00  ,0.00  ,0.00  
,07/09/2021,Invoice,1268,CANN - Essence Henderson,,288,0.00  ,0.00  ,0.00  
,07/09/2021,Invoice,1271,CANN - Essence Rainbow,,308,0.00  ,0.00  ,0.00  
,07/09/2021,Invoice,1269,CANN - Essence Tropicana,,200,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/12/2021,Invoice,1273,CANN - The Apothecarium,"PR# FG3CN4031206210514
Metrc# 2179",50,9.00  ,450.00  ,"7,254.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/12/2021,Invoice,1273,CANN - The Apothecarium,"PR# FG3CN4040804210310
Metrc# 2183",20,7.00  ,140.00  ,812.00  
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/12/2021,Invoice,1273,CANN - The Apothecarium,"PR# FG3CN4040501210318A
Metrc# 2182",20,3.00  ,60.00  ,"4,494.00  "
   CANN Grapefruit Rosemary 6pk,07/12/2021,Invoice,1273,CANN - The Apothecarium,"PR# FG3CN4021206210513
Metrc# 2180",30,9.00  ,270.00  ,"3,537.00  "
   CANN Lemon Lavender 6pk,07/12/2021,Invoice,1273,CANN - The Apothecarium,"PR# FG3CN4011206210429
Metrc# 2181",30,9.00  ,270.00  ,"7,614.00  "
,07/12/2021,Invoice,1273,CANN - The Apothecarium,,210,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/13/2021,Invoice,1272,CANN - Rise Carson City,"PR# FG3CN4031206210514
Metrc# 2175",108,9.00  ,972.00  ,"8,226.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/13/2021,Invoice,1272,CANN - Rise Carson City,"PR# FG3CN4040804210310
Metrc# 2178",60,7.00  ,420.00  ,"1,232.00  "
   CANN Grapefruit Rosemary 6pk,07/13/2021,Invoice,1272,CANN - Rise Carson City,"PR# FG3CN4021206210513
Metrc# 2176",120,9.00  ,"1,080.00  ","4,617.00  "
   CANN Lemon Lavender 6pk,07/13/2021,Invoice,1272,CANN - Rise Carson City,"PR# FG3CN4011206210429
Metrc# 2177",80,9.00  ,720.00  ,"8,334.00  "
,07/13/2021,Invoice,1272,CANN - Rise Carson City,,408,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4031206210514
Metrc# 2198",2,9.00  ,18.00  ,"8,244.00  "
   CANN Blood Orange Cardamom 6pk PROMO,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CN4031206210514
Metrc# 2217",0,,0.00  ,0.40  
   CANN Blood Orange Cardamom 6pk PROMO,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4031206210514
Metrc# 2200",25,6.30  ,157.50  ,157.90  
   CANN Ginger Lemongrass Seasonal 4pk,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CN4040804210310
Metrc# 2221",0,,0.00  ,"1,232.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4040804210310
Metrc# 2204",15,7.00  ,105.00  ,"1,337.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CN4040501210318A
Metrc# 2220",0,,0.00  ,"4,494.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4040501210318A
Metrc# 2203",35,3.00  ,105.00  ,"4,599.00  "
   CANN Grapefruit Rosemary 6pk PROMO,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4021206210513
Metrc# 2201",25,6.30  ,157.50  ,157.80  
   CANN Grapefruit Rosemary 6pk PROMO,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CN4021206210513
Metrc# 2218",0,,0.00  ,157.80  
   CANN Lemon Lavender 6pk,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4011206210429
Metrc# 2199",2,9.00  ,18.00  ,"8,352.00  "
   CANN Lemon Lavender 6pk PROMO,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CN4011206210429
Metrc# 2202",25,6.30  ,157.50  ,157.90  
   CANN Lemon Lavender 6pk PROMO,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CN4011206210429
Metrc# 2219",0,,0.00  ,157.90  
   CANN Pineapple Jalapeno 6pk,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3BCN4051206210609
Metrc# 2205",2,9.00  ,18.00  ,18.00  
   CANN Pineapple Jalapeno 6pk,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3BCN4051206210609
Metrc# 2222",0,,0.00  ,18.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/14/2021,Invoice,1280,CANN - The Dispensary Express,"PR# FG3CBN4052004210610
Metrc# 2223",0,,0.00  ,0.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,"PR# FG3CBN4052004210610
Metrc# 2206",7,10.00  ,70.00  ,70.00  
,07/14/2021,Invoice,1278,CANN - The Dispensary Decatur,,88,0.00  ,0.00  ,0.00  
,07/14/2021,Invoice,1280,CANN - The Dispensary Express,,0,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4031206210514
Metrc# 2207",37,9.00  ,333.00  ,"8,577.00  "
   CANN Blood Orange Cardamom 6pk PROMO,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4031206210514
Metrc# 2210",25,6.30  ,157.50  ,315.40  
