state,door,account,Delivery,sales_rep
CA,MedMen DTLA - Distro,MedMen,No,Jen
CA,Medmen Seaside,MedMen,No,Jen
CA,Medmen Weho,MedMen,No,Jen
CA,MedMen Beverly Hills,MedMen,No,Jen
CA,MedMen OC,MedMen,No,Jen
CA,Medmen San Diego,MedMen,No,Jen
CA,Medmen San Jose,MedMen,No,Jen
CA,Medmen Sorrento,MedMen,No,Jen
CA,MedMen DTLA Retail,MedMen,No,Jen
CA,MedMen Abbot Kinney,MedMen,No,Jen
CA,The Higher Path,* Independent Kiva Sales & Service,No,Ryan
CA,Hall of Flowers 2019 (Community Gardens Inc.),* Independent Kiva Sales & Service,No,NA - DTC
CA,Kannabis Works,* Independent Kiva Sales & Service,No,Ryan
CA,OC3,* Independent Kiva Sales & Service,No,Ryan
CA,Cornerstone Research Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Erba,Erba,No,Jen
CA,The Cannabist,Columbia Care,No,Karlie
CA,Torrey Holistics,Torrey Holistics,No,Karlie
CA,OG Cannabis Cafe,* Independent Kiva Sales & Service,No,Ryan
CA,The Green Goddess Collective,* Independent Kiva Sales & Service,No,Ryan
CA,From The Earth DBO,From the Earth,No,Ryan
CA,Genius Boutique,* Independent Kiva Sales & Service,No,Ryan
CA,Rose Collective,* Independent Kiva Sales & Service,No,Ryan
CA,805 Beach Breaks (Harvest),Harvest,No,Ryan
CA,Coastal Dispensary,Coastal,No,TBH
CA,NHC - Grover Beach,NHC,No,Ryan
CA,Ojai Greens,* Independent Kiva Sales & Service,No,Ryan
CA,PureLife,* Independent Kiva Sales & Service,No,Ryan
CA,Sweet Flower Melrose,Sweet Flower,No,Karlie
CA,Sweet Flower Studio City,Sweet Flower,No,Karlie
CA,Apothekare,Americannmade,No,Ryan
CA,"dba Mankind WILD WEST INDUSTRIES, INC.",* Independent Kiva Sales & Service,No,Karlie
CA,Organic Green Treatment Center (LA Cannabis LA),LA Cannabis Co.,No,Ryan
CA,The Pottery,Glass House Group,No,Jen
CA,Melrose Herbal Collective (LA Cannabis La Brea),LA Cannabis Co.,No,Ryan
CA,"DTPG Collective, Inc.",* Independent Kiva Sales & Service,No,Ryan
CA,Farmacy SB,Glass House Group,No,Jen
CA,LAX CC,* Independent Kiva Sales & Service,No,Ryan
CA,New Amsterdam Naturals,* Independent Kiva Sales & Service,No,Ryan
CA,Sespe Creek Collective,* Independent Kiva Sales & Service,No,Ryan
CA,The Kind Center,* Independent Kiva Sales & Service,No,Ryan
CA,"Euphoric Caregivers, Prop- 215",* Independent Kiva Sales & Service,No,Ryan
CA,Marina Caregivers,* Independent Kiva Sales & Service,No,Ryan
CA,Safeport,* Independent Kiva Sales & Service,No,Ryan
CA,SkyHigh,* Independent Kiva Sales & Service,No,Ryan
CA,420 Central,* Independent Kiva Sales & Service,No,Ryan
CA,Beyond Hello,Beyond Hello/Jushi Brand,No,Jen
CA,HOTN Cultivation Co.,* Independent Kiva Sales & Service,No,Ryan
CA,Moe Greens,Barbary Group,No,Ryan
CA,California Alternative Caregivers,* Independent Kiva Sales & Service,No,Ryan
CA,Solful,Solful,No,Ryan
CA,Cannasseurs Club - NoHo,* Independent Kiva Sales & Service,No,Ryan
CA,House of Flowers,* Independent Kiva Sales & Service,No,Ryan
CA,Atrium,Atrium,No,Karlie
CA,Barbary Coast - Sunset,Barbary Group,No,Ryan
CA,Elemental Wellness Center,* Independent Kiva Sales & Service,No,Ryan
CA,Natural Herbal Pain Relief,* Independent Kiva Sales & Service,No,Ryan
CA,A Green Alternative Cooperative,* Independent Kiva Sales & Service,No,Ryan
CA,Coastal West LA,Coastal,No,TBH
CA,EAST OF EDEN CANNABIS COMPANY,EOE Group,No,Ryan
CA,Flower Power SF,* Independent Kiva Sales & Service,No,Ryan
CA,New life CA,* Independent Kiva Sales & Service,No,Ryan
CA,Responsible Patient Care (SPARC),SPARC,No,Ryan
CA,Sava,* Independent Kiva Sales & Service,Yes,Elyse
CA,The Lift,* Independent Kiva Sales & Service,No,Ryan
CA,The Reserve SD,* Independent Kiva Sales & Service,No,Ryan
CA,Urbana Geary,Urbana,No,TBH
CA,Vapor Room,* Independent Kiva Sales & Service,No,Ryan
CA,7 Stars Holistic Healing Center,* Independent Kiva Sales & Service,No,Ryan
CA,710 SF INC.,* Independent Kiva Sales & Service,No,Ryan
CA,Buds and Roses,* Independent Kiva Sales & Service,No,Ryan
CA,California City Supply,* Independent Kiva Sales & Service,No,Ryan
CA,Exhale Med Center,* Independent Kiva Sales & Service,No,Ryan
CA,Nice Guys Delivery,* Independent Kiva Sales & Service,No,TBH
CA,ONA.life,* Independent Kiva Sales & Service,No,TBH
CA,Synchronicity Holistic,* Independent Kiva Sales & Service,No,Ryan
CA,White Fire,EOE Group,No,Ryan
CA,CCA California Caregivers Alliance,* Independent Kiva Sales & Service,No,Ryan
CA,Hi Fidelity- Micro,* Independent Kiva Sales & Service,No,Ryan
CA,Mecca,* Independent Kiva Sales & Service,No,Ryan
CA,Mission Cannabis Club (Shambhala Healing Center),* Independent Kiva Sales & Service,No,Ryan
CA,MMD NoHo,MMD,No,Ryan
CA,Organic Greens Collective (OGC Goleta),* Independent Kiva Sales & Service,No,Ryan
CA,Satori Wellness,* Independent Kiva Sales & Service,No,Ryan
CA,Urbana Mission,Urbana,No,TBH
CA,CBCB - Cannabis Buyers Club of Berkeley,* Independent Kiva Sales & Service,No,Ryan
CA,HEMPSVISION,* Independent Kiva Sales & Service,No,Ryan
CA,Hollywood High Grade,* Independent Kiva Sales & Service,No,Ryan
CA,March and Ash IV,March and Ash,No,Karlie
CA,Purple Star MD,* Independent Kiva Sales & Service,No,Ryan
CA,Santa Barbara Care Center,* Independent Kiva Sales & Service,No,Ryan
CA,Sweet Flower DTLA,Sweet Flower,No,Karlie
