Name,Invoice,Status,delivery_date,variable,value,unit_price,dollar_val
Rise - Joliet (Colorado Ave),INV-039084,Delivered,4/8/21,LL - wholesale,140,12.0,1680.0
Rise - Niles,INV-039085,Delivered,4/8/21,LL - wholesale,136,12.0,1632.0
Rise - Canton,INV-039193,Delivered,4/9/21,LL - wholesale,28,12.0,336.0
Rise - Effingham,INV-039194,Delivered,4/9/21,LL - wholesale,100,12.0,1200.0
Rise - Joliet (Rock Creek),INV-039195,Delivered,4/9/21,LL - wholesale,48,12.0,576.0
Rise - Naperville,INV-039196,Delivered,4/9/21,LL - wholesale,136,12.0,1632.0
Rise - Quincy,INV-039197,Delivered,4/9/21,LL - wholesale,64,12.0,768.0
Rise - Lake in the Hills,INV-039198,Delivered,4/9/21,LL - wholesale,124,12.0,1488.0
Ascend - Fairview,INV-039629,Delivered,4/15/21,LL - wholesale,64,12.0,768.0
Ascend - Springfield,INV-039696,Delivered,4/16/21,LL - wholesale,72,12.0,864.0
Ascend - Horizon,INV-039697,Delivered,4/16/21,LL - wholesale,72,12.0,864.0
Midway - Chicago Archer,INV-039698,Delivered,4/16/21,LL - wholesale,72,12.0,864.0
Midway - Chicago Ridge,INV-039699,Delivered,4/16/21,LL - wholesale,72,12.0,864.0
MOCA - Logan Square,INV-039700,Delivered,4/16/21,LL - wholesale,60,12.0,720.0
MOCA - River North,INV-039701,Delivered,4/16/21,LL - wholesale,60,12.0,720.0
Ascend - Collinsville,INV-039837,Delivered,4/19/21,LL - wholesale,64,12.0,768.0
Ascend - Fairview,INV-039838,Delivered,4/19/21,LL - wholesale,52,12.0,624.0
Rise - Effingham,INV-039839,Delivered,4/19/21,LL - wholesale,4,12.0,48.0
Rise - Joliet (Colorado Ave),INV-039840,Delivered,4/19/21,LL - wholesale,60,12.0,720.0
Rise - Joliet (Rock Creek),INV-039841,Delivered,4/19/21,LL - wholesale,32,12.0,384.0
Rise - Naperville,INV-039842,Delivered,4/19/21,LL - wholesale,40,12.0,480.0
Rise - Niles,INV-039843,Delivered,4/19/21,LL - wholesale,56,12.0,672.0
Rise - Canton,INV-039845,Delivered,4/19/21,LL - wholesale,20,12.0,240.0
Rise - Quincy,INV-039846,Delivered,4/19/21,LL - wholesale,20,12.0,240.0
Ascend - Collinsville,INV-039853,Delivered,4/19/21,LL - wholesale,64,12.0,768.0
Ascend - Fairview,INV-039854,Delivered,4/19/21,LL - wholesale,52,12.0,624.0
Rise - Effingham,INV-039855,Delivered,4/19/21,LL - wholesale,4,12.0,48.0
Rise - Joliet (Rock Creek),INV-039857,Delivered,4/19/21,LL - wholesale,32,12.0,384.0
Rise - Naperville,INV-039858,Delivered,4/19/21,LL - wholesale,40,12.0,480.0
Rise - Niles,INV-039859,Delivered,4/19/21,LL - wholesale,56,12.0,672.0
Rise - Canton,INV-039861,Delivered,4/19/21,LL - wholesale,20,12.0,240.0
Rise - Quincy,INV-039862,Delivered,4/19/21,LL - wholesale,20,12.0,240.0
Ascend - Collinsville,INV-039962,Delivered,4/19/21,LL - wholesale,-64,12.0,-768.0
Ascend - Fairview,INV-039963,Delivered,4/19/21,LL - wholesale,-52,12.0,-624.0
Rise - Effingham,INV-039964,Delivered,4/19/21,LL - wholesale,-4,12.0,-48.0
Rise - Joliet (Rock Creek),INV-039966,Delivered,4/19/21,LL - wholesale,-32,12.0,-384.0
Rise - Naperville,INV-039967,Delivered,4/19/21,LL - wholesale,-40,12.0,-480.0
Rise - Niles,INV-039968,Delivered,4/19/21,LL - wholesale,-56,12.0,-672.0
Rise - Canton,INV-039970,Delivered,4/19/21,LL - wholesale,-20,12.0,-240.0
Rise - Quincy,INV-039971,Delivered,4/19/21,LL - wholesale,-20,12.0,-240.0
MedMen - Oak Park,INV-039938,Delivered,4/20/21,LL - wholesale,20,12.0,240.0
Ascend - Fairview,INV-040012,Delivered,4/21/21,LL - wholesale,12,12.0,144.0
Ascend - Collinsville,INV-040105,Delivered,4/22/21,LL - wholesale,168,12.0,2016.0
Ascend - Collinsville,INV-040202,Delivered,4/23/21,LL - wholesale,168,12.0,2016.0
Ascend - Springfield,INV-040226,Delivered,4/23/21,LL - wholesale,72,12.0,864.0
Ascend - Collinsville,INV-040227,Delivered,4/23/21,LL - wholesale,-168,12.0,-2016.0
Rise - Effingham,INV-040515,Delivered,4/28/21,LL - wholesale,148,12.0,1776.0
Rise - Joliet (Colorado Ave),INV-040516,Delivered,4/28/21,LL - wholesale,172,12.0,2064.0
Rise - Joliet (Rock Creek),INV-040517,Delivered,4/28/21,LL - wholesale,72,12.0,864.0
Rise - Naperville,INV-040518,Delivered,4/28/21,LL - wholesale,72,12.0,864.0
Rise - Niles,INV-040519,Delivered,4/28/21,LL - wholesale,168,12.0,2016.0
Rise - Lake in the Hills,INV-040520,Delivered,4/28/21,LL - wholesale,160,12.0,1920.0
MedMen - Oak Park,INV-040608,Delivered,4/29/21,LL - wholesale,20,12.0,240.0
MOCA - Logan Square,INV-040609,Delivered,4/29/21,LL - wholesale,60,12.0,720.0
MOCA - River North,INV-040610,Delivered,4/29/21,LL - wholesale,120,12.0,1440.0
Rise - Canton,INV-040611,Delivered,4/29/21,LL - wholesale,80,12.0,960.0
Ascend - Horizon,INV-040668,Delivered,4/30/21,LL - wholesale,48,12.0,576.0
Ascend - Fairview,INV-040669,Delivered,4/30/21,LL - wholesale,12,12.0,144.0
Rise - Joliet (Colorado Ave),INV-040962,Delivered,5/4/21,LL - wholesale,164,12.0,1968.0
Rise - Joliet (Rock Creek),INV-040963,Delivered,5/4/21,LL - wholesale,60,12.0,720.0
Rise - Niles,INV-040965,Delivered,5/4/21,LL - wholesale,180,12.0,2160.0
Rise - Lake in the Hills,INV-040966,Delivered,5/4/21,LL - wholesale,184,12.0,2208.0
Rise - Naperville,INV-040973,Delivered,5/4/21,LL - wholesale,72,12.0,864.0
Rise - Quincy,INV-040975,Delivered,5/4/21,LL - wholesale,40,12.0,480.0
Ascend - Springfield,INV-041189,Delivered,5/5/21,LL - wholesale,40,12.0,480.0
Ascend - Horizon,INV-041190,Delivered,5/5/21,LL - wholesale,36,12.0,432.0
Ascend - Collinsville,INV-041273,Delivered,5/6/21,LL - wholesale,152,12.0,1824.0
Ascend - Fairview,INV-041274,Delivered,5/6/21,LL - wholesale,136,12.0,1632.0
Midway - Chicago Ridge,INV-041275,Delivered,5/6/21,LL - wholesale,48,12.0,576.0
Midway - Chicago Archer,INV-041276,Delivered,5/6/21,LL - wholesale,48,12.0,576.0
MOCA - Logan Square,INV-041277,Delivered,5/6/21,LL - wholesale,72,12.0,864.0
MOCA - River North,INV-041278,Delivered,5/6/21,LL - wholesale,60,12.0,720.0
Rise - Canton,INV-041279,Delivered,5/6/21,LL - wholesale,72,12.0,864.0
Rise - Niles,INV-041338,Delivered,5/7/21,LL - wholesale,220,12.0,2640.0
Midway - Chicago Archer,INV-041413,Delivered,5/10/21,LL - wholesale,20,12.0,240.0
MOCA - Logan Square,INV-041414,Delivered,5/10/21,LL - wholesale,40,12.0,480.0
MOCA - River North,INV-041415,Delivered,5/10/21,LL - wholesale,32,12.0,384.0
MOCA - River North,INV-041646,Delivered,5/10/21,LL - wholesale,-32,12.0,-384.0
MOCA - Logan Square,INV-041647,Delivered,5/10/21,LL - wholesale,-40,12.0,-480.0
Midway - Chicago Archer,INV-041648,Delivered,5/10/21,LL - wholesale,-20,12.0,-240.0
Rise - Naperville,INV-041528,Delivered,5/11/21,LL - wholesale,40,12.0,480.0
Rise - Niles,INV-041529,Delivered,5/11/21,LL - wholesale,160,12.0,1920.0
Rise - Lake in the Hills,INV-041530,Delivered,5/11/21,LL - wholesale,40,12.0,480.0
Midway - Chicago Archer,INV-041640,Delivered,5/12/21,LL - wholesale,20,12.0,240.0
MOCA - Logan Square,INV-041641,Delivered,5/12/21,LL - wholesale,40,12.0,480.0
MOCA - River North,INV-041642,Delivered,5/12/21,LL - wholesale,32,12.0,384.0
Rise - Joliet (Colorado Ave),INV-041643,Delivered,5/12/21,LL - wholesale,144,12.0,1728.0
Rise - Joliet (Rock Creek),INV-041644,Delivered,5/12/21,LL - wholesale,36,12.0,432.0
Ascend - Springfield,INV-041757,Delivered,5/13/21,LL - wholesale,44,12.0,528.0
Ascend - Collinsville,INV-041758,Delivered,5/13/21,LL - wholesale,72,12.0,864.0
Ascend - Horizon,INV-041759,Delivered,5/13/21,LL - wholesale,36,12.0,432.0
Ascend - Fairview,INV-041760,Delivered,5/13/21,LL - wholesale,56,12.0,672.0
Ascend - Collinsville,INV-041849,Delivered,5/13/21,LL - wholesale,-12,12.0,-144.0
Ascend - Springfield,INV-041850,Delivered,5/13/21,LL - wholesale,-1,12.0,-12.0
MedMen - Oak Park,INV-041837,Delivered,5/14/21,LL - wholesale,28,12.0,336.0
Rise - Niles,INV-041872,Delivered,5/17/21,LL - wholesale,160,12.0,1920.0
Rise - Joliet (Colorado Ave),INV-042021,Delivered,5/18/21,LL - wholesale,84,12.0,1008.0
Rise - Naperville,INV-042111,Delivered,5/19/21,LL - wholesale,13,12.0,156.0
Rise - Lake in the Hills,INV-042113,Delivered,5/19/21,LL - wholesale,60,12.0,720.0
MedMen - Oak Park,INV-042301,Delivered,5/21/21,LL - wholesale,28,12.0,336.0
