use_date,state,door,account,ext_doc_id,ext_doc_type,product_name,promo_name,unit_price,quantity,full_price,discount,dollar_vol,assigned_rep,sales_rep,packout,format,flavor,lite,sku,is_sample,is_promotion,fam_mapping
2022-01-06,MA,Bask,Bask,70b35ce3,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-06,MA,Bask,Bask,70b35ce3,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-06,MA,Bask,Bask,70b35ce3,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-06,MA,Bask,Bask,70b35ce3,Order,Cranberry Sage - 12oz. 4-Pack,,14.0,30.0,420.0,0.0,420.0,,Joe,4,12oz,CS,False,CS-12oz-4,False,False,Seasonal
2022-01-06,MA,Sanctuary Gardner,Sanctuary,5457f5d8,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,20.0,240.0,0.0,240.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-06,MA,Sanctuary Gardner,Sanctuary,5457f5d8,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,20.0,240.0,0.0,240.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-06,MA,Sanctuary Gardner,Sanctuary,5457f5d8,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,20.0,240.0,0.0,240.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-06,MA,Ascend Boston,Ascend,31047989,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Elyse,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-06,MA,Ascend Boston,Ascend,31047989,Order,Cranberry Sage - 12oz. 4-Pack,,14.0000000007,40.0,560.000000028,0.0,560.0,,Elyse,4,12oz,CS,False,CS-12oz-4,False,False,Seasonal
2022-01-06,MA,Ascend Newton,Ascend,c30a9ef2,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,80.0,960.0,0.0,960.0,,Elyse,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-06,MA,Ascend Newton,Ascend,c30a9ef2,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Elyse,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-06,MA,Ascend Newton,Ascend,c30a9ef2,Order,Cranberry Sage - 12oz. 4-Pack,,14.0000000007,40.0,560.000000028,0.0,560.0,,Elyse,4,12oz,CS,False,CS-12oz-4,False,False,Seasonal
2022-01-06,MA,Bud's Goods & Provisions Worcester,Bud's Goods & Provisions,61d18f39,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-06,MA,Bud's Goods & Provisions Worcester,Bud's Goods & Provisions,61d18f39,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-06,MA,Bud's Goods & Provisions Worcester,Bud's Goods & Provisions,61d18f39,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,10.0,120.0,0.0,120.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-07,MA,Sanctuary Woburn,Sanctuary,49bbf5a0,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-07,MA,Sanctuary Woburn,Sanctuary,49bbf5a0,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-07,MA,Sanctuary Woburn,Sanctuary,49bbf5a0,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-07,MA,Sanctuary Woburn,Sanctuary,49bbf5a0,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-07,MA,Ermont,Ermont,d147e8a5,Order,Cranberry Sage - 12oz. 4-Pack,,12.0,45.0,540.0,0.0,540.0,,Joe,4,12oz,CS,False,CS-12oz-4,False,False,Seasonal
2022-01-07,MA,Ermont,Ermont,d147e8a5,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,45.0,540.0,0.0,540.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-07,MA,Ermont,Ermont,d147e8a5,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-07,MA,Ermont,Ermont,d147e8a5,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,10.0,120.0,0.0,120.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-07,MA,Bud's Goods & Provisions Abington,Bud's Goods & Provisions,45e44216,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,50.0,600.0,0.0,600.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-07,MA,Bud's Goods & Provisions Abington,Bud's Goods & Provisions,45e44216,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-07,MA,Bud's Goods & Provisions Abington,Bud's Goods & Provisions,45e44216,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Melrose,Garden Remedies,ee82224b,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Melrose,Garden Remedies,ee82224b,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Melrose,Garden Remedies,ee82224b,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Newton,Garden Remedies,b8b61248,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Newton,Garden Remedies,b8b61248,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-10,MA,Garden Remedies Newton,Garden Remedies,b8b61248,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-10,MA,Sanctuary Brookline,Sanctuary,54e1fd4b,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-10,MA,Sanctuary Brookline,Sanctuary,54e1fd4b,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,18.0,216.0,0.0,216.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-10,MA,Sanctuary Brookline,Sanctuary,54e1fd4b,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,24.0,288.0,0.0,288.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-10,MA,Sanctuary Brookline,Sanctuary,54e1fd4b,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,40.0,480.0,0.0,480.0,,Joe,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,25.0,300.0,0.0,300.0,,Joe,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,SAM - Blood Orange Cardamom - 8oz. 6-Pack,,0.02,10.0,0.2,0.0,0.2,,Joe,6,8oz,BOC,False,BOC-8oz-6,True,False,Core
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,SAM - Grapefruit Rosemary - 8oz. 6-Pack,,0.02,10.0,0.2,0.0,0.2,,Joe,6,8oz,GR,False,GR-8oz-6,True,False,Core
2022-01-11,MA,Silver Therapeutics,Silver Therapeutics,872ae1f7,Order,SAM - Lemon Lavender - 8oz. 6-Pack,,0.02,10.0,0.2,0.0,0.2,,Joe,6,8oz,LL,False,LL-8oz-6,True,False,Core
2022-01-11,MA,Rebelle,Rebelle,44c8de7f,Order,6-Pack - Blood Orange Cardamom - 8oz.,,12.0,100.0,1200.0,0.0,1200.0,,Joe,6,8oz,BOC,False,BOC-8oz-6,False,False,Core
2022-01-11,MA,Rebelle,Rebelle,44c8de7f,Order,6-Pack - Grapefruit Rosemary - 8oz.,,12.0,100.0,1200.0,0.0,1200.0,,Joe,6,8oz,GR,False,GR-8oz-6,False,False,Core
2022-01-11,MA,Rebelle,Rebelle,44c8de7f,Order,6-Pack - Cranberry Sage - 8oz.,,12.0,50.0,600.0,0.0,600.0,,Joe,6,8oz,CS,False,CS-8oz-6,False,False,Seasonal
2022-01-11,MA,Rebelle,Rebelle,44c8de7f,Order,6-Pack - Lemon Lavender - 8oz.,,12.0,100.0,1200.0,0.0,1200.0,,Joe,6,8oz,LL,False,LL-8oz-6,False,False,Core
