Name,Owner,Existing/New,"Order
Date",PO Number,Status,"Delivery
Date",total,parsed_formula,adj_total,hardcoded_unit_price_calc,variable,value,unit_price,dollar_val
Jardin,0.0, Existing ,3/9/21,18592.0, Delivered ,3/22/21,2471.0,"{'N': '9', 'X': '3', 'Z': '7', 'R': '0.01', 'V': '0.01', 'AD': '0.01'}",2471.0,15.941935483870967,Credit,324.0,1.0,-324.0
Jenny's Dispensary North Las Vegas,0.0,Existing,3/15/21,18563.0, Delivered ,3/23/21,2495.72,"{'N': '9', 'W': '3', 'Y': '7', 'R': '0.01', 'V': '0.01'}",2495.72,45.37672727272727,Credit,99.28,1.0,-99.28
Jardin,0.0,Existing,3/23/21,18615.0, Delivered ,3/29/21,666.0,"{'N': '9', 'X': '3', 'Z': '7', 'R': '0.01', 'V': '0.01', 'AD': '0.01'}",666.0,5.123076923076923,Credit,504.0,1.0,-504.0
Apothecarium,Team,New,0.0,0.0,Delivered,7/20/20,2019.24,"{'N': '12', 'R': '0.01', 'V': '0.01'}",2016.0,12.0,LL - wholesale 6pk,56.0,12.0,672.0
Essence Durango,Team,New,0.0,0.0,Delivered,7/21/20,1298.04,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1296.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Essence Henderson,Team,New,0.0,0.0,Delivered,7/21/20,2019.48,"{'N': '12', 'R': '0.01', 'V': '0.01'}",2016.0,12.0,LL - wholesale 6pk,56.0,12.0,672.0
Essence Rainbow,Team,New,0.0,0.0,Delivered,7/21/20,1298.28,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1296.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Essence Strip,Team,New,0.0,0.0,Delivered,7/21/20,1298.28,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1296.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Essence Tropicana,Team,New,0.0,0.0,Delivered,7/21/20,1443.0,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1440.0,12.0,LL - wholesale 6pk,40.0,12.0,480.0
MedMen Paradise,Team,New,0.0,0.0,Delivered,7/22/20,4036.44,"{'N': '12', 'R': '0.01', 'V': '0.01'}",4032.0,12.0,LL - wholesale 6pk,112.0,12.0,1344.0
MedMen Spring Valley,Team,New,0.0,0.0,Delivered,7/22/20,4035.96,"{'N': '12', 'R': '0.01', 'V': '0.01'}",4032.0,12.0,LL - wholesale 6pk,112.0,12.0,1344.0
MedMen DTLV,Team,New,0.0,0.0,Delivered,7/24/20,4035.84,"{'N': '12', 'R': '0.01', 'V': '0.01'}",4032.0,12.0,LL - wholesale 6pk,112.0,12.0,1344.0
Rise Carson City,Team,New,0.0,0.0,Delivered,8/5/20,1442.16,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1440.0,12.0,LL - wholesale 6pk,40.0,12.0,480.0
Rise Spanish Springs,Team,New,0.0,0.0,Delivered,8/5/20,1297.56,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1296.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Apothecarium,Team,Existing,0.0,0.0,Delivered,8/14/20,1201.5,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1200.0,12.0,LL - wholesale 6pk,60.0,12.0,720.0
Essence Durango,Team,Existing,0.0,0.0,Delivered,8/26/20,912.0,"{'N': '12', 'R': '0.01', 'V': '0.01'}",912.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Essence Rainbow,Team,Existing,0.0,0.0,Delivered,8/26/20,1296.0,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1296.0,12.0,LL - wholesale 6pk,36.0,12.0,432.0
Apothecarium,Tyler,Existing,0.0,0.0,Delivered,9/3/20,720.6,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
The Apothecary Shoppe,Christy,New,0.0,0.0,Delivered,9/14/20,1009.8,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1008.0,12.0,LL - wholesale 6pk,28.0,12.0,336.0
Shango,Tyler,New,0.0,0.0,Delivered,9/16/20,361.35,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Apothecarium,Tyler,Existing,0.0,0.0,Delivered,9/18/20,720.84,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
Essence Durango,Christy,Existing,0.0,0.0,Delivered,9/21/20,1382.64,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1382.4,9.600000000000001,LL - wholesale 6pk,48.0,9.6,460.79999999999995
Essence Henderson,Tyler,Existing,0.0,0.0,Delivered,9/21/20,921.84,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",921.6,9.6,LL - wholesale 6pk,24.0,9.6,230.39999999999998
Essence Rainbow,Christy,Existing,0.0,0.0,Delivered,9/21/20,1267.44,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1267.2,9.6,LL - wholesale 6pk,48.0,9.6,460.79999999999995
Essence Tropicana,Tyler,Existing,0.0,0.0,Delivered,9/21/20,461.04,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",460.8,9.6,LL - wholesale 6pk,24.0,9.6,230.39999999999998
Green Cross,Kimberly,New,0.0,0.0,Delivered,9/21/20,216.24,"{'N': '12', 'R': '0.01', 'V': '0.01'}",216.0,12.0,LL - wholesale 6pk,6.0,12.0,72.0
Silver State Relief Sparks,Kimberly,New,0.0,0.0,Delivered,9/24/20,3603.36,"{'N': '12', 'R': '0.01', 'V': '0.01'}",3600.0,12.0,LL - wholesale 6pk,100.0,12.0,1200.0
Silver State Relief Fernley,Kimberly,New,0.0,0.0,Delivered,9/24/20,1801.86,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1800.0,12.0,LL - wholesale 6pk,50.0,12.0,600.0
The Apothecary Shoppe,Christy,Existing,0.0,0.0,Delivered,9/25/20,1008.96,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1008.0,12.0,LL - wholesale 6pk,28.0,12.0,336.0
Inyo,Kimberly,New,0.0,0.0,Delivered,9/28/20,3459.84,"{'N': '12', 'R': '0.01', 'V': '0.01'}",3456.0,12.0,LL - wholesale 6pk,96.0,12.0,1152.0
Vegas Treehouse,Tyler,New,0.0,0.0,Delivered,9/28/20,361.2,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Thrive North Las Vegas,Kimberly,New,0.0,0.0,Delivered,9/29/20,720.96,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
Thrive Southern Highlands,Kimberly,New,0.0,0.0,Delivered,9/29/20,720.96,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
NuWu,Tyler,New,0.0,0.0,Delivered,9/30/20,2018.76,"{'N': '12', 'R': '0.01', 'V': '0.01'}",2016.0,12.0,LL - wholesale 6pk,56.0,12.0,672.0
ShowGrow,Tyler,New,0.0,0.0,Delivered,9/30/20,1803.18,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1800.0,12.0,LL - wholesale 6pk,50.0,12.0,600.0
Thrive Reno,Kimberly,New,0.0,0.0,Delivered,9/30/20,720.96,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
Essence Henderson,Tyler,Existing,0.0,0.0,Delivered,10/1/20,921.72,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",921.6,9.6,LL - wholesale 6pk,38.0,9.6,364.8
Essence Rainbow,Christy,Existing,0.0,0.0,Delivered,10/1/20,1795.32,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1795.2,9.6,LL - wholesale 6pk,75.0,9.6,720.0
Essence Strip,Tyler,Existing,0.0,0.0,Delivered,10/1/20,806.52,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",806.4,9.6,LL - wholesale 6pk,28.0,9.6,268.8
Essence Tropicana,Tyler,Existing,0.0,0.0,Delivered,10/1/20,614.52,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",614.4,9.6,LL - wholesale 6pk,20.0,9.6,192.0
Wallflower,Tyler,New,0.0,0.0,Delivered,10/1/20,601.34,"{'N': '12', 'R': '0.01', 'V': '0.01'}",600.0,12.0,LL - wholesale 6pk,16.0,12.0,192.0
Apothecarium,Tyler,Existing,0.0,0.0,Delivered,10/2/20,720.72,"{'N': '12', 'R': '0.01', 'V': '0.01'}",720.0,12.0,LL - wholesale 6pk,20.0,12.0,240.0
Rise Carson City,Kimberly,Existing,0.0,0.0,Delivered,10/2/20,825.72,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",825.6,9.6,LL - wholesale 6pk,50.0,9.6,480.0
Silver Sage Wellness,Kimberly,New,0.0,0.0,Delivered,10/5/20,865.68,"{'N': '12', 'R': '0.01', 'V': '0.01'}",864.0,12.0,LL - wholesale 6pk,24.0,12.0,288.0
The Apothecary Shoppe,Christy,Existing,0.0,0.0,Delivered,10/5/20,1008.0,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1008.0,12.0,LL - wholesale 6pk,28.0,12.0,336.0
Green Cross,Kimberly,Existing,0.0,0.0,Delivered,10/9/20,216.66,"{'N': '12', 'R': '0.01', 'V': '0.01'}",216.0,12.0,LL - wholesale 6pk,6.0,12.0,72.0
Vegas Treehouse,Tyler,Existing,0.0,0.0,Delivered,10/9/20,360.3,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Exhale,Kimberly,New,0.0,0.0,Delivered,10/12/20,756.75,"{'N': '12', 'R': '0.01', 'V': '0.01'}",756.0,12.0,LL - wholesale 6pk,21.0,12.0,252.0
Shango,Tyler,Existing,0.0,0.0,Delivered,10/12/20,360.3,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Essence Durango,Christy,Existing,0.0,0.0,Delivered,10/13/20,1267.2,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1267.2,9.6,LL - wholesale 6pk,48.0,9.6,460.79999999999995
Rise Spanish Springs,Kimberly,Existing,0.0,0.0,Delivered,10/14/20,460.8,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",460.8,9.6,LL - wholesale 6pk,24.0,9.6,230.39999999999998
Apothecarium,Tyler,Existing,0.0,0.0,Delivered,10/15/20,1320.12,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1320.0,12.0,LL - wholesale 6pk,30.0,12.0,360.0
Vegas Treehouse,Tyler,Existing,0.0,0.0,Delivered,10/21/20,900.12,"{'N': '12', 'R': '0.01', 'V': '0.01'}",900.0,12.0,LL - wholesale 6pk,30.0,12.0,360.0
Jenny's Dispensary North Las Vegas,Christy,New,0.0,0.0,Delivered,10/22/20,1441.44,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1440.0,12.0,LL - wholesale 6pk,40.0,12.0,480.0
The Apothecary Shoppe,Christy,Existing,0.0,0.0,Delivered,10/26/20,2016.24,"{'N': '12', 'R': '0.01', 'V': '0.01'}",2016.0,12.0,LL - wholesale 6pk,56.0,12.0,672.0
Apothecarium,Tyler,Existing,0.0,0.0,Delivered,10/28/20,1008.42,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1008.0,12.0,LL - wholesale 6pk,28.0,12.0,336.0
Mynt Downtown,Tyler,New,0.0,0.0,Delivered,10/28/20,2026.05,"{'N': '9', 'R': '0.01', 'V': '0.01'}",2025.0,9.0,LL - wholesale 6pk,75.0,9.0,675.0
Mynt North,Tyler,New,0.0,0.0,Delivered,10/28/20,2026.05,"{'N': '9', 'R': '0.01', 'V': '0.01'}",2025.0,9.0,LL - wholesale 6pk,75.0,9.0,675.0
NuWu,Tyler,Existing,0.0,0.0,Delivered,10/28/20,2641.5,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",2640.0,9.6,LL - wholesale 6pk,100.0,9.6,960.0
The Dispensary Reno,Tyler,New,0.0,0.0,Delivered,10/28/20,2026.05,"{'N': '9', 'R': '0.01', 'V': '0.01'}",2025.0,9.0,LL - wholesale 6pk,75.0,9.0,675.0
Essence Durango,Christy,Existing,0.0,0.0,Delivered,10/29/20,1497.6,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1497.6,9.6,LL - wholesale 6pk,72.0,9.6,691.1999999999999
Essence Tropicana,Tyler,Existing,0.0,0.0,Delivered,10/29/20,345.6,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",345.6,9.600000000000001,LL - wholesale 6pk,24.0,9.6,230.39999999999998
MedMen DTLV,Christy,Existing,0.0,0.0,Delivered,10/29/20,720.12,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",720.0,9.6,LL - wholesale 6pk,50.0,9.6,480.0
MedMen Paradise,Christy,Existing,0.0,0.0,Delivered,10/29/20,2880.0,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",2880.0,9.6,LL - wholesale 6pk,100.0,9.6,960.0
ShowGrow,Tyler,Existing,0.0,0.0,Delivered,10/29/20,1801.5,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1800.0,12.0,LL - wholesale 6pk,50.0,12.0,600.0
The Dispensary Henderson,Tyler,New,0.0,0.0,Delivered,10/30/20,2026.5,"{'N': '9', 'R': '0.01', 'V': '0.01'}",2025.0,9.0,LL - wholesale 6pk,75.0,9.0,675.0
The Dispensary Las Vegas,Tyler,New,0.0,0.0,Delivered,10/30/20,2026.5,"{'N': '9', 'R': '0.01', 'V': '0.01'}",2025.0,9.0,LL - wholesale 6pk,75.0,9.0,675.0
Rise Carson City,Kimberly,Existing,0.0,0.0,Delivered,11/2/20,460.8,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",460.8,9.6,LL - wholesale 6pk,12.0,9.6,115.19999999999999
Essence Henderson,Tyler,Existing,0.0,0.0,Delivered,11/5/20,1843.2,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",1843.2,9.6,LL - wholesale 6pk,84.0,9.6,806.4
Shango,Tyler,Existing,0.0,0.0,Delivered,11/5/20,360.3,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Oasis,Tyler,New,0.0,0.0,Delivered,11/9/20,577.68,"{'N': '12', 'R': '0.01', 'V': '0.01'}",576.0,12.0,LL - wholesale 6pk,16.0,12.0,192.0
Reef Dispensaries,Christy,New,0.0,0.0,Delivered,11/17/20,5040.0,"{'N': '10', 'R': '0.01', 'V': '0.01'}",5040.0,10.0,LL - wholesale 6pk,168.0,10.0,1680.0
Wallflower,Tyler,Existing,0.0,0.0,Delivered,11/20/20,1501.47,"{'N': '12', 'R': '0.01', 'V': '0.01'}",1500.0,12.0,LL - wholesale 6pk,50.0,12.0,600.0
Essence Rainbow,Christy,Existing,0.0,0.0,Delivered,11/24/20,324.0,"{'N': '9', 'R': '0.01', 'V': '0.01'}",324.0,9.0,LL - wholesale 6pk,12.0,9.0,108.0
Essence Tropicana,Tyler,Existing,0.0,0.0,Delivered,11/24/20,756.0,"{'N': '9', 'R': '0.01', 'V': '0.01'}",756.0,9.0,LL - wholesale 6pk,36.0,9.0,324.0
Rise Carson City,Tyler,Existing,0.0,0.0,Delivered,11/24/20,864.0,"{'N': '9', 'R': '0.01', 'V': '0.01'}",864.0,9.0,LL - wholesale 6pk,36.0,9.0,324.0
Rise Spanish Springs,Tyler,Existing,0.0,0.0,Delivered,11/24/20,1080.0,"{'N': '9', 'R': '0.01', 'V': '0.01'}",1080.0,9.0,LL - wholesale 6pk,48.0,9.0,432.0
Shango,Tyler,Existing,0.0,0.0,Delivered,11/24/20,360.3,"{'N': '12', 'R': '0.01', 'V': '0.01'}",360.0,12.0,LL - wholesale 6pk,10.0,12.0,120.0
Green Cannabis,Tyler,New,0.0,0.0,Delivered,11/30/20,433.2,"{'N': '12', 'R': '0.01', 'V': '0.01'}",432.0,12.0,LL - wholesale 6pk,12.0,12.0,144.0
MedMen DTLV,Christy,Existing,0.0,0.0,Delivered,11/30/20,480.5,"{'N': '9.6', 'R': '0.01', 'V': '0.01'}",480.0,9.6,LL - wholesale 6pk,50.0,9.6,480.0
