state,account,door,dollar_vol
CA,* Independent Kiva Sales & Service,105TH MANAGEMENT,2568.62
CA,* Independent Kiva Sales & Service,1841 El Camino (Horizon),0.29999999999999893
CA,* Independent Kiva Sales & Service,365 Recreational Cannabis,6582.84
CA,* Independent Kiva Sales & Service,420 Central,0.0
CA,* Independent Kiva Sales & Service,420 Kingdom,0.03999999999999915
CA,* Independent Kiva Sales & Service,420 Strains,486.06
CA,* Independent Kiva Sales & Service,515 Broadway,48.0
CA,* Independent Kiva Sales & Service,7 Stars Holistic Healing Center,1.4699999999999949
CA,* Independent Kiva Sales & Service,710 SF INC.,0.3999999999999986
CA,* Independent Kiva Sales & Service,A Green Alternative Cooperative,0.12999999999999937
CA,* Independent Kiva Sales & Service,A Therapeutic Alternative,1968.24
CA,* Independent Kiva Sales & Service,ABIDE NAPA,2988.81
CA,* Independent Kiva Sales & Service,AHHS Weho,5729.5199999999995
CA,* Independent Kiva Sales & Service,"ALTERNATIVES, A HEALTH COLLECTIVE",3.399999999999995
CA,* Independent Kiva Sales & Service,ASHE Society,15295.16
CA,* Independent Kiva Sales & Service,Abatin Wellness Center,0.009999999999999787
CA,* Independent Kiva Sales & Service,Airfield Supply Co.,118564.55
CA,* Independent Kiva Sales & Service,Alexander Valley Organics Inc.,264.0
CA,* Independent Kiva Sales & Service,All About Wellness,0.5999999999999979
CA,* Independent Kiva Sales & Service,All Natural Inc,684.16
CA,* Independent Kiva Sales & Service,Alpha Core Inc.,0.3999999999999986
CA,* Independent Kiva Sales & Service,Alpha Core Inc.-Distro,0.03999999999999915
CA,* Independent Kiva Sales & Service,Amenta Systems,1740.0
CA,* Independent Kiva Sales & Service,Apothecary,870.86
CA,* Independent Kiva Sales & Service,Ascent Mammoth,12381.7
CA,* Independent Kiva Sales & Service,Atomic Budz,0.2699999999999978
CA,* Independent Kiva Sales & Service,BASA,1351.5
CA,* Independent Kiva Sales & Service,BASA- Bay Area Safe Alternatives,3.400000000000004
CA,* Independent Kiva Sales & Service,Ball Family Farms,0.0
CA,* Independent Kiva Sales & Service,Bare Dispensary,0.02999999999999936
CA,* Independent Kiva Sales & Service,Bay Care Delivery,4302.07
CA,* Independent Kiva Sales & Service,Bay Leaves,150.05
CA,* Independent Kiva Sales & Service,BayQueen,0.02999999999999936
CA,* Independent Kiva Sales & Service,Bento Delivery,16034.94
CA,* Independent Kiva Sales & Service,Berkeley Patients Group (BPG),11114.88
CA,* Independent Kiva Sales & Service,Big Moon Sky,5.0
CA,* Independent Kiva Sales & Service,Big Sur Cannabotanicals,25904.17
CA,* Independent Kiva Sales & Service,Blaze1 - Dunsmuir,0.02999999999999936
CA,* Independent Kiva Sales & Service,Blazed Utopia,552.08
CA,* Independent Kiva Sales & Service,Bloom Room,0.4999999999999982
CA,* Independent Kiva Sales & Service,Blue Zen Ventures Management,36.800000000000004
CA,* Independent Kiva Sales & Service,Blunts and Moore,448.1
CA,* Independent Kiva Sales & Service,BoRu Co,5521.17
CA,* Independent Kiva Sales & Service,Boca del Rio Agriculture LLC,-1453.0000000000005
CA,* Independent Kiva Sales & Service,Boutiq (Primetime Cap),5920.88
CA,* Independent Kiva Sales & Service,Bud Brothers,0.02999999999999936
