use_date,state,dollar_vol
2019-07-31,CA,22485.62
2019-08-31,CA,9001.2
2019-09-30,CA,15.0
2019-10-31,CA,46241.99
2019-11-30,CA,26903.5
2019-12-31,CA,72097.6
2020-01-31,CA,30242.82
2020-02-29,CA,41239.54
2020-03-31,CA,112621.23
2020-04-30,CA,49604.96
2020-05-31,CA,148799.87
2020-06-30,CA,184156.34
2020-07-31,CA,160078.35
2020-07-31,NV,21484.56
2020-08-31,CA,301289.79
2020-08-31,NV,7410.3
2020-09-30,CA,217357.74
2020-09-30,NV,23283.66
2020-09-30,RI,2522.1
2020-10-31,CA,272586.66
2020-10-31,NV,39957.32
2020-10-31,RI,1801.5
2020-11-30,CA,288608.16
2020-11-30,NV,25190.42
2020-11-30,RI,1179.11
2020-12-31,CA,511968.44
2020-12-31,NV,9613.31
2020-12-31,RI,2377.8
2021-01-31,CA,177536.01
2021-01-31,NV,20665.72
2021-01-31,RI,3816.75
2021-02-28,CA,243895.83
2021-02-28,NV,32085.82
2021-02-28,RI,1722.68
2021-03-31,CA,399412.35
2021-03-31,MA,20820.06
2021-03-31,NV,58009.17
2021-03-31,RI,3960.17
2021-04-30,CA,288883.3
2021-04-30,IL,108838.6
2021-04-30,MA,30153.0
2021-04-30,NV,59821.71
2021-04-30,RI,2790.0
2021-05-31,CA,274960.21
2021-05-31,IL,98593.64
2021-05-31,MA,33468.08
2021-05-31,NV,56366.72
2021-05-31,RI,3060.0
2021-06-30,CA,403140.34
2021-06-30,IL,260325.0
2021-06-30,MA,48444.0
2021-06-30,NV,76705.56
2021-06-30,RI,1080.0
2021-07-31,CA,228770.18
2021-07-31,IL,166732.66
2021-07-31,MA,39264.0
2021-07-31,NV,24662.69
2021-07-31,RI,4050.0
2021-08-31,CA,236246.98
2021-08-31,IL,31632.0
2021-08-31,MA,12888.0
2021-08-31,NV,28498.2
2021-09-30,CA,513583.5
2021-09-30,IL,232740.0
2021-09-30,NV,53244.26
2021-10-31,CA,208314.86000000002
2021-10-31,IL,82661.12
2021-10-31,MA,38808.0
2021-10-31,NV,22569.45
2021-11-30,CA,218648.34
2021-11-30,IL,164557.36
2021-11-30,MA,68104.29
2021-11-30,NV,34353.73
2021-12-31,CA,411494.69
2021-12-31,IL,210620.38
2021-12-31,MA,119564.15
2021-12-31,NV,66413.32
2022-01-31,CA,209756.93
2022-01-31,IL,130992.0
2022-01-31,MA,106762.88
2022-01-31,NV,49252.1
2022-02-28,CA,192228.96
2022-02-28,IL,124565.24
2022-02-28,MA,82724.16
2022-02-28,NV,35458.91
2022-03-31,CA,279803.06
2022-03-31,IL,155069.9
2022-03-31,MA,150100.76
2022-03-31,NV,59709.44
2022-04-30,CA,277164.15
2022-04-30,IL,102318.1
2022-04-30,MA,148016.88
2022-04-30,NV,36441.18
2022-05-31,CA,331909.17
2022-05-31,IL,142940.08
2022-05-31,MA,136201.88
2022-05-31,NV,88440.72
2022-06-30,CA,265197.43
2022-06-30,IL,209276.4
2022-06-30,MA,188088.4
2022-06-30,NV,46353.18
2022-07-31,CA,7970.7
2022-07-31,IL,15132.0
2022-07-31,MA,4952.0
2022-07-31,NV,1246.38
