sku,dollar_vol
BOC-12oz-1,6229.4
BOC-12oz-4,725804.99
BOC-8oz-0,93.46
BOC-8oz-1,109175.89
BOC-8oz-6,2478745.85
BOC-Sachet-8,162334.17
BR-12oz-4,41840.0
CS-12oz-1,37220.26
CS-12oz-4,216586.07
CS-8oz-1,36877.68
CS-8oz-4,192730.98
CS-8oz-6,268890.22
CS-Bottle-1,63493.7
CS-Crystals-1,38391.69
CS-Sachet-1,40271.61
Flavor Not Found-12oz-6,8389.8
Flavor Not Found-8oz-0,-285026.97
Flavor Not Found-8oz-4,10220.0
Flavor Not Found-8oz-6,196760.95
GLG-12oz-0,806.07
GLG-12oz-1,60987.33
GLG-12oz-4,177506.34
GLG-8oz-4,149295.09
GLG-8oz-6,124701.67
GLG-Sachet-8,20759.41
GR-12oz-1,2373.9700000000003
GR-12oz-4,481614.67
GR-8oz-0,93.34
GR-8oz-1,77446.53
GR-8oz-4,41419.93
GR-8oz-6,1877479.68
GR-Sachet-8,121268.26
HM-8oz-6,41771.24
LB-8oz-4,4013.04
LL-12oz-1,1183.77
LL-12oz-4,657059.4
LL-8oz-0,98.9
LL-8oz-1,117914.81
LL-8oz-6,2478766.26
LL-Sachet-1,38794.35
LL-Sachet-10,308061.25
LL-Sachet-8,197509.19
PJ-12oz-1,102967.33
PJ-12oz-4,102146.32
PJ-8oz-4,69163.77
PJ-8oz-6,166209.59
PPM-12oz-1,0.96
PPM-12oz-4,20374.1
Variety-8oz-3,15.0
Variety-8oz-6,31486.82
YE-8oz-1,1850.14
YE-8oz-6,311000.48
